"","geo_type","region","transportation_type","alternative_name","sub-region","country","date","value"
"1","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-13,100
"2","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-14,102.22
"3","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-15,97.81
"4","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-16,101.74
"5","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-17,118.33
"6","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-18,131.44
"7","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-19,119.17
"8","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-20,105.71
"9","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-21,105.98
"10","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-22,109.34
"11","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-23,109.2
"12","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-24,124.55
"13","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-25,139.02
"14","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-26,122.13
"15","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-27,109.91
"16","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-28,107.81
"17","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-29,116.6
"18","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-30,110.18
"19","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-31,123.62
"20","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-01,129.86
"21","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-02,116.15
"22","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-03,104.28
"23","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-04,109.84
"24","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-05,111.46
"25","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-06,117.13
"26","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-07,133.68
"27","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-08,135.83
"28","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-09,118.61
"29","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-10,105.82
"30","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-11,105.87
"31","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-12,113.41
"32","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-13,109.83
"33","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-14,137.46
"34","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-15,136.37
"35","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-16,117.5
"36","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-17,111.01
"37","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-18,110.64
"38","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-19,116.33
"39","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-20,117.83
"40","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-21,117.02
"41","city","Bangalore","driving","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-22,124.53
