"","geo_type","region","transportation_type","alternative_name","sub-region","country","date","value"
"1","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-13,100
"2","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-14,106.31
"3","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-15,107.82
"4","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-16,111.02
"5","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-17,120.65
"6","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-18,137.24
"7","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-19,123.47
"8","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-20,107.37
"9","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-21,107.13
"10","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-22,109.46
"11","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-23,109.79
"12","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-24,116.88
"13","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-25,140.84
"14","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-26,120.32
"15","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-27,115.2
"16","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-28,106.88
"17","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-29,114.75
"18","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-30,110.65
"19","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-01-31,119.91
"20","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-01,143.75
"21","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-02,130.27
"22","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-03,111.59
"23","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-04,117.78
"24","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-05,112.66
"25","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-06,116.51
"26","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-07,135.4
"27","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-08,141.46
"28","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-09,129.05
"29","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-10,114.79
"30","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-11,105.08
"31","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-12,114.5
"32","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-13,111.22
"33","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-14,132.94
"34","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-15,133.47
"35","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-16,123.35
"36","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-17,102.95
"37","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-18,103.36
"38","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-19,107.29
"39","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-20,111.35
"40","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-21,118.48
"41","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-22,126.42
"42","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-23,117.29
"43","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-24,105.86
"44","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-25,109.22
"45","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-26,110.45
"46","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-27,105.78
"47","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-28,129.91
"48","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-02-29,142.61
"49","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-01,132.08
"50","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-02,102.05
"51","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-03,107.29
"52","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-04,106.68
"53","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-05,96.27
"54","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-06,122.61
"55","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-07,125.69
"56","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-08,118.39
"57","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-09,99.59
"58","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-10,96.15
"59","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-11,94.47
"60","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-12,88.41
"61","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-13,89.96
"62","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-14,96.35
"63","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-15,81.32
"64","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-16,81.07
"65","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-17,77.96
"66","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-18,70.34
"67","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-19,63.5
"68","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-20,56.49
"69","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-21,39.98
"70","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-22,31.46
"71","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-23,35.27
"72","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-24,24.01
"73","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-25,19.62
"74","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-26,23.27
"75","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-27,25.65
"76","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-28,24.01
"77","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-29,22.94
"78","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-30,22.04
"79","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-03-31,20.03
"80","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-01,19.62
"81","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-02,21.59
"82","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-03,21.63
"83","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-04,22.57
"84","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-05,19.83
"85","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-06,20.77
"86","city","Bangalore","walking","बैंगलोर|ಬೆಂಗಳೂರು",NA,"India",2020-04-07,19.21
