"","date","region","driving","walking","Detected State","Cases","Recovered","Deceased","Migrated_Other","Migrated"
"1",2020-03-18,"Chennai",77.12,78.52,"Tamil Nadu",1,NA,NA,NA,NA
"2",2020-03-19,"Chennai",67.75,67.98,"Tamil Nadu",NA,1,NA,NA,NA
"3",2020-03-21,"Chennai",43.89,42.06,"Tamil Nadu",1,NA,NA,NA,NA
"4",2020-03-22,"Chennai",31.34,31.44,"Tamil Nadu",1,NA,NA,NA,NA
"5",2020-03-23,"Chennai",50.44,45.27,"Tamil Nadu",1,NA,NA,NA,NA
"6",2020-03-24,"Chennai",21.34,25.6,"Tamil Nadu",5,NA,NA,NA,NA
"7",2020-03-25,"Chennai",16.41,21.81,"Tamil Nadu",1,NA,NA,NA,NA
"8",2020-03-26,"Chennai",14,18.52,"Tamil Nadu",2,NA,NA,NA,NA
"9",2020-03-27,"Chennai",12.94,21.15,"Tamil Nadu",2,NA,NA,NA,NA
"10",2020-03-28,"Chennai",14.55,21.56,"Tamil Nadu",1,NA,NA,NA,NA
"11",2020-03-30,"Chennai",16.28,20.91,"Tamil Nadu",5,NA,NA,NA,NA
"12",2020-03-31,"Chennai",12.91,17.04,"Tamil Nadu",4,NA,NA,NA,NA
"13",2020-04-01,"Chennai",15.07,19.92,"Tamil Nadu",1,NA,NA,NA,NA
"14",2020-04-02,"Chennai",14.93,17.7,"Tamil Nadu",20,NA,NA,NA,NA
"15",2020-04-03,"Chennai",15.03,19.67,"Tamil Nadu",35,NA,NA,NA,NA
"16",2020-04-04,"Chennai",14.64,17.04,"Tamil Nadu",7,NA,NA,NA,NA
"17",2020-04-05,"Chennai",12.41,20.25,"Tamil Nadu",7,NA,NA,NA,NA
"18",2020-04-06,"Chennai",15.77,20.41,"Tamil Nadu",15,NA,NA,NA,NA
"19",2020-04-07,"Chennai",13.84,20.99,"Tamil Nadu",39,NA,NA,NA,NA
"20",2020-04-08,"Chennai",15.33,30.45,"Tamil Nadu",7,NA,NA,NA,NA
"21",2020-04-09,"Chennai",15.11,19.59,"Tamil Nadu",7,NA,NA,NA,NA
"22",2020-04-10,"Chennai",14.6,19.59,"Tamil Nadu",9,NA,NA,NA,NA
"23",2020-04-11,"Chennai",15.6,40,"Tamil Nadu",10,NA,NA,NA,NA
"24",2020-04-12,"Chennai",15.13,17.53,"Tamil Nadu",18,NA,NA,NA,NA
"25",2020-04-13,"Chennai",15.25,20.91,"Tamil Nadu",9,NA,NA,NA,NA
"26",2020-04-14,"Chennai",16.41,22.72,"Tamil Nadu",5,NA,NA,NA,NA
"27",2020-04-15,"Chennai",16.38,24.61,"Tamil Nadu",5,NA,NA,NA,NA
"28",2020-04-16,"Chennai",16.33,26.17,"Tamil Nadu",3,NA,NA,NA,NA
"29",2020-04-17,"Chennai",16.78,21.48,"Tamil Nadu",11,NA,NA,NA,NA
"30",2020-04-18,"Chennai",19,22.3,"Tamil Nadu",7,NA,NA,NA,NA
"31",2020-04-19,"Chennai",16.66,20.16,"Tamil Nadu",50,NA,NA,NA,NA
