date,region,driving,walking,Detected State,Cases,Deceased,Recovered,Migrated,Migrated_Other
2020-03-02,Delhi,107.84,102.76,Delhi,NA,NA,1,NA,NA
2020-03-05,Delhi,105.06,96.66,Delhi,1,NA,NA,NA,NA
2020-03-06,Delhi,124.69,101.87,Delhi,NA,NA,1,NA,NA
2020-03-09,Delhi,63.56,61.15,Delhi,1,NA,NA,NA,NA
2020-03-11,Delhi,89.08,91.64,Delhi,1,NA,NA,NA,NA
2020-03-12,Delhi,94.7,85.35,Delhi,NA,1,NA,NA,NA
2020-03-13,Delhi,89.47,87.47,Delhi,1,NA,NA,NA,NA
2020-03-17,Delhi,75.88,75.62,Delhi,2,NA,NA,1,NA
2020-03-18,Delhi,71.54,69.26,Delhi,1,NA,NA,NA,NA
2020-03-19,Delhi,62.34,61.18,Delhi,3,NA,NA,NA,NA
2020-03-20,Delhi,54.43,46.91,Delhi,6,NA,NA,NA,NA
2020-03-21,Delhi,33.68,33.69,Delhi,7,NA,NA,NA,NA
2020-03-22,Delhi,24.43,25.99,Delhi,1,NA,NA,NA,NA
2020-03-23,Delhi,21.75,25.6,Delhi,2,NA,NA,NA,NA
2020-03-25,Delhi,13.49,24.33,Delhi,5,NA,NA,NA,NA
2020-03-26,Delhi,14.03,26.22,Delhi,4,NA,NA,NA,NA
2020-03-27,Delhi,15.39,32.6,Delhi,1,NA,NA,NA,NA
2020-03-28,Delhi,15.62,31.87,Delhi,9,NA,NA,NA,NA
2020-03-29,Delhi,14.6,25.25,Delhi,23,NA,NA,NA,NA
2020-03-30,Delhi,13.38,19.72,Delhi,25,NA,NA,NA,NA
2020-03-31,Delhi,13.31,19.24,Delhi,23,NA,NA,NA,NA
2020-04-01,Delhi,13.54,17.4,Delhi,32,NA,NA,NA,NA
2020-04-02,Delhi,12.72,16.04,Delhi,141,NA,NA,NA,NA
2020-04-03,Delhi,12.62,17.49,Delhi,93,NA,NA,NA,NA
2020-04-04,Delhi,12.67,17.56,Delhi,59,NA,NA,NA,NA
2020-04-05,Delhi,12.01,18.43,Delhi,58,NA,NA,NA,NA
2020-04-06,Delhi,12.61,17.19,Delhi,22,NA,NA,NA,NA
2020-04-07,Delhi,12.61,16.18,Delhi,51,NA,NA,NA,NA
2020-04-08,Delhi,13.87,20.35,Delhi,93,NA,NA,NA,NA
2020-04-09,Delhi,12.21,17.1,Delhi,51,NA,NA,NA,NA
2020-04-10,Delhi,12.32,17.4,Delhi,183,NA,NA,NA,NA
2020-04-11,Delhi,12.46,18.41,Delhi,166,NA,NA,NA,NA
2020-04-12,Delhi,12.39,19.22,Delhi,85,NA,NA,NA,NA
2020-04-13,Delhi,13.56,17.47,Delhi,356,NA,NA,NA,NA
2020-04-14,Delhi,13.6,19.56,Delhi,51,NA,NA,NA,NA
2020-04-15,Delhi,13.67,22.51,Delhi,17,NA,NA,NA,NA
2020-04-16,Delhi,13.44,17.47,Delhi,62,NA,NA,NA,NA
2020-04-17,Delhi,13.39,17.26,Delhi,67,NA,NA,NA,NA
2020-04-18,Delhi,11.84,17.93,Delhi,186,NA,NA,NA,NA
2020-04-19,Delhi,12.27,18.02,Delhi,110,NA,NA,NA,NA
2020-04-20,Delhi,13.32,19.61,Delhi,78,NA,NA,NA,NA
2020-04-21,Delhi,12.44,19.24,Delhi,75,NA,NA,NA,NA
2020-04-22,Delhi,12.28,18.25,Delhi,92,NA,NA,NA,NA
2020-04-23,Delhi,13.52,19.31,Delhi,128,NA,NA,NA,NA
2020-04-24,Delhi,12.61,15.81,Delhi,138,NA,NA,NA,NA
2020-04-25,Delhi,12.14,17.4,Delhi,111,NA,NA,NA,NA
2020-04-26,Delhi,13.33,18.43,Delhi,293,NA,NA,NA,NA
2020-04-27,Delhi,13.48,18.62,Delhi,190,NA,NA,NA,NA
2020-04-28,Delhi,13.12,18.73,Delhi,206,NA,201,NA,NA
2020-04-29,Delhi,13.73,17.7,Delhi,125,2,14,NA,NA
2020-04-30,Delhi,15.02,18.5,Delhi,76,3,2,NA,NA
2020-05-01,Delhi,14.91,19.29,Delhi,223,2,73,NA,NA
2020-05-02,Delhi,14.31,18.87,Delhi,384,3,89,NA,NA
2020-05-03,Delhi,15.59,21.71,Delhi,427,NA,106,NA,NA
2020-05-04,Delhi,19.78,22.88,Delhi,349,NA,69,NA,NA
2020-05-05,Delhi,19.65,23.73,Delhi,206,NA,37,NA,NA
2020-05-06,Delhi,18.78,24.24,Delhi,428,1,74,NA,NA
2020-05-07,Delhi,18.4,25.88,Delhi,448,1,389,NA,NA
2020-05-08,Delhi,21.07,26.13,Delhi,338,2,89,NA,NA
2020-05-09,Delhi,20.73,24.33,Delhi,224,NA,NA,NA,NA
2020-05-10,Delhi,21.04,25.21,Delhi,381,5,49,NA,NA
2020-05-11,Delhi,NA,NA,Delhi,310,NA,60,NA,NA
2020-05-12,Delhi,NA,NA,Delhi,406,13,383,NA,NA
2020-05-13,Delhi,22.91,26.2,Delhi,359,20,346,NA,NA
2020-05-14,Delhi,22.22,24.68,Delhi,472,9,187,NA,NA
2020-05-15,Delhi,22.83,25.55,Delhi,425,8,473,NA,NA
2020-05-16,Delhi,21.8,26.22,Delhi,438,6,408,NA,NA
2020-05-17,Delhi,24.46,27.28,Delhi,422,19,276,NA,NA
2020-05-18,Delhi,29.95,29.84,Delhi,299,12,283,NA,NA
