"","date","region","Driving","Walking","Detected State","Cases","Recovered","Deceased","Migrated_Other","Migrated"
"1",2020-03-02,"Delhi",107.84,102.76,"Delhi",NA,1,NA,NA,NA
"2",2020-03-05,"Delhi",105.06,96.66,"Delhi",1,NA,NA,NA,NA
"3",2020-03-06,"Delhi",124.69,101.87,"Delhi",NA,1,NA,NA,NA
"4",2020-03-09,"Delhi",63.56,61.15,"Delhi",1,NA,NA,NA,NA
"5",2020-03-11,"Delhi",89.08,91.64,"Delhi",1,NA,NA,NA,NA
"6",2020-03-12,"Delhi",94.7,85.35,"Delhi",NA,NA,1,NA,NA
"7",2020-03-13,"Delhi",89.47,87.47,"Delhi",1,NA,NA,NA,NA
"8",2020-03-17,"Delhi",75.88,75.62,"Delhi",2,NA,NA,NA,1
"9",2020-03-18,"Delhi",71.54,69.26,"Delhi",1,NA,NA,NA,NA
"10",2020-03-19,"Delhi",62.34,61.18,"Delhi",3,NA,NA,NA,NA
"11",2020-03-20,"Delhi",54.43,46.91,"Delhi",6,NA,NA,NA,NA
"12",2020-03-21,"Delhi",33.68,33.69,"Delhi",7,NA,NA,NA,NA
"13",2020-03-22,"Delhi",24.43,25.99,"Delhi",1,NA,NA,NA,NA
"14",2020-03-23,"Delhi",21.75,25.6,"Delhi",2,NA,NA,NA,NA
"15",2020-03-25,"Delhi",13.49,24.33,"Delhi",5,NA,NA,NA,NA
"16",2020-03-26,"Delhi",14.03,26.22,"Delhi",4,NA,NA,NA,NA
"17",2020-03-27,"Delhi",15.39,32.6,"Delhi",1,NA,NA,NA,NA
"18",2020-03-28,"Delhi",15.62,31.87,"Delhi",9,NA,NA,NA,NA
"19",2020-03-29,"Delhi",14.6,25.25,"Delhi",23,NA,NA,NA,NA
"20",2020-03-30,"Delhi",13.38,19.72,"Delhi",25,NA,NA,NA,NA
"21",2020-03-31,"Delhi",13.31,19.24,"Delhi",23,NA,NA,NA,NA
"22",2020-04-01,"Delhi",13.54,17.4,"Delhi",32,NA,NA,NA,NA
"23",2020-04-02,"Delhi",12.72,16.04,"Delhi",141,NA,NA,NA,NA
"24",2020-04-03,"Delhi",12.62,17.49,"Delhi",93,NA,NA,NA,NA
"25",2020-04-04,"Delhi",12.67,17.56,"Delhi",59,NA,NA,NA,NA
"26",2020-04-05,"Delhi",12.01,18.43,"Delhi",58,NA,NA,NA,NA
"27",2020-04-06,"Delhi",12.61,17.19,"Delhi",22,NA,NA,NA,NA
