Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily,change_daily_cases,change_daily_tests
2020-06-01,Delhi,20834,8746,523,0,217537,990,4753,-305,-1292
2020-06-02,Delhi,22132,9243,556,0,223607,1298,6070,308,1317
2020-06-03,Delhi,23645,9542,615,0,230145,1513,6538,215,468
2020-06-04,Delhi,25004,9898,659,0,236506,1359,6361,-154,-177
2020-06-05,Delhi,26334,10315,708,0,241693,1330,5187,-29,-1174
2020-06-06,Delhi,27654,10664,761,0,246873,1320,5180,-10,-7
2020-06-07,Delhi,28936,10999,812,0,251915,1282,5042,-38,-138
2020-06-08,Delhi,29943,11357,874,0,255615,1007,3700,-275,-1342
2020-06-09,Delhi,31309,11861,905,0,261079,1366,5464,359,1764
2020-06-10,Delhi,32810,12245,984,0,266156,1501,5077,135,-387
2020-06-11,Delhi,34687,12731,1085,0,271516,1877,5360,376,283
2020-06-12,Delhi,36824,13398,1214,0,277463,2137,5947,260,587
2020-06-13,Delhi,38958,14945,1271,0,283239,2134,5776,-3,-171
2020-06-14,Delhi,41182,15823,1327,0,290592,2224,7353,90,1577
2020-06-15,Delhi,42829,16427,1400,0,296697,1647,6105,-577,-1248
2020-06-16,Delhi,44688,16500,1837,0,304483,1859,7786,212,1681
2020-06-17,Delhi,47102,17457,1904,0,312576,2414,8093,555,307
2020-06-18,Delhi,49979,21341,1969,0,321302,2877,8726,463,633
2020-06-19,Delhi,53116,23569,2035,0,334376,3137,13074,260,4348
2020-06-20,Delhi,56746,31294,2112,0,351909,3630,17533,493,4459
2020-06-21,Delhi,59746,33013,2175,0,370014,3000,18105,-630,572
2020-06-22,Delhi,62655,36602,2233,0,384696,2909,14682,-91,-3423
2020-06-23,Delhi,66602,39313,2301,0,401648,3947,16952,1038,2270
2020-06-24,Delhi,70390,41437,2365,0,420707,3788,19059,-159,2107
2020-06-25,Delhi,73780,44765,2429,0,438012,3390,17305,-398,-1754
2020-06-26,Delhi,77240,47091,2492,0,459156,3460,21144,70,3839
2020-06-27,Delhi,80188,49301,2558,0,478336,2948,19180,-512,-1964
2020-06-28,Delhi,83077,52607,2623,0,498416,2889,20080,-59,900
2020-06-29,Delhi,85161,56235,2680,0,514573,2084,16157,-805,-3923
2020-06-30,Delhi,87360,58348,2742,0,531752,2199,17179,115,1022
2020-07-01,Delhi,89802,59992,2803,0,551708,2442,19956,243,2777
2020-07-02,Delhi,92175,63007,2864,0,572530,2373,20822,-69,866
2020-07-03,Delhi,94695,65624,2923,0,596695,2520,24165,147,3343
2020-07-04,Delhi,97200,68256,3004,0,620368,2505,23673,-15,-492
2020-07-05,Delhi,99444,71339,3067,0,643504,2244,23136,-261,-537
2020-07-06,Delhi,100823,72088,3115,0,657383,1379,13879,-865,-9257
2020-07-07,Delhi,102831,74217,3165,0,679831,2008,22448,629,8569
2020-07-08,Delhi,104864,78199,3213,0,701859,2033,22028,25,-420
2020-07-09,Delhi,107051,82226,3258,0,724148,2187,22289,154,261
2020-07-10,Delhi,109140,84694,3300,0,747109,2089,22961,-98,672
2020-07-11,Delhi,110921,87692,3334,0,768617,1781,21508,-308,-1453
2020-07-12,Delhi,112494,89968,3371,0,789853,1573,21236,-208,-272
2020-07-13,Delhi,113740,91312,3411,0,692845,1246,-97008,-327,-118244
2020-07-14,Delhi,115346,93236,3446,0,713908,1606,21063,360,118071
2020-07-15,Delhi,116993,95699,3487,0,736436,1647,22528,41,1465
2020-07-16,Delhi,118645,97693,3545,0,756661,1652,20225,5,-2303
2020-07-17,Delhi,120107,99301,3571,0,777125,1462,20464,-190,239
2020-07-18,Delhi,121582,101274,3597,0,798783,1475,21658,13,1194
2020-07-19,Delhi,122793,103134,3628,0,818989,1211,20206,-264,-1452
2020-07-20,Delhi,123747,104918,3663,0,830459,954,11470,-257,-8736
2020-07-21,Delhi,125096,106118,3690,0,851311,1349,20852,395,9382
2020-07-22,Delhi,126323,107650,3719,0,871371,1227,20060,-122,-792
2020-07-23,Delhi,127364,109065,3745,0,889597,1041,18226,-186,-1834
2020-07-24,Delhi,127364,109065,3745,0,889597,0,0,-1041,-18226
