Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,-45,21,-9,-5,1,-47,-14,NA,-11,-24,-13,-3,-8,-14,95,-1,8,8,NA,-3,-26,-41,-73,-1,-10,-11,11,-13,-14,NA,17,19,3,-5,-9,-5
2020-03-22,-85,-76,-64,-69,-62,-91,-75,NA,-86,-83,-86,-78,-77,-71,-1,-73,-81,-81,NA,-74,-84,-61,-69,-41,-53,-73,-88,-77,-74,-77,-79,-83,-63,-71,-76,-63
2020-03-23,-43,-13,0,-29,-25,-61,-39,NA,-36,-52,-72,-41,-28,-37,58,-21,3,-9,NA,-48,-39,-39,-16,-65,-41,-36,-4,-56,-50,-25,21,-23,2,-33,-43,-14
2020-03-24,-48,-45,-50,-32,-42,-92,-50,NA,-51,-66,-47,-58,-50,-62,25,-46,-43,-52,NA,-60,-50,-57,-74,-68,-65,-48,-37,-77,-61,-17,5,-45,-29,-41,-61,-56
2020-03-25,-76,-60,-57,-71,-52,-89,-58,-63,-68,-76,-81,-64,-68,-69,-7,-60,-65,-55,NA,-69,-67,-65,-76,-61,-73,-53,-73,-76,-65,-71,-65,-57,-56,-63,-62,-58
2020-03-26,-80,-56,-59,-70,-55,-88,-59,-61,-69,-76,-78,-64,-67,-64,-1,-62,-61,-63,NA,-66,-63,-61,-66,-70,-71,-62,-69,-73,-65,-70,-66,-59,-56,-61,-65,-61
2020-03-27,-79,-56,-60,-67,-56,-86,-62,-66,-70,-77,-70,-66,-70,-67,-5,-63,-61,-65,NA,-69,-62,-56,-58,-70,-68,-61,-62,-73,-65,-67,-65,-59,-55,-63,-66,-60
2020-03-28,-74,-57,-62,-71,-57,-82,-63,-68,-73,-77,-79,-70,-68,-65,15,-65,-64,-66,NA,-68,-66,-62,-59,-72,-71,-65,-65,-69,-65,-62,-66,-61,-56,-62,-64,-62
2020-03-29,-63,-54,-62,-67,-56,-86,-63,-73,-79,-77,-78,-72,-68,-63,8,-64,-64,-70,NA,-68,-68,-57,-66,-45,-60,-65,-64,-69,-66,-70,-63,-59,-54,-62,-67,-60
2020-03-30,-60,-59,-61,-69,-56,-84,-61,-69,-68,-73,-73,-68,-64,-61,8,-62,-62,-62,NA,-69,-63,-57,-73,-68,-65,-62,-60,-64,-64,-70,-63,-61,-55,-60,-62,-62
