Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily,change_daily_cases,change_daily_tests
2020-06-01,Gujarat,17217,10780,1063,0,216258,423,4328,-15,-1822
2020-06-02,Gujarat,17632,11894,1092,0,221610,415,5352,-8,1024
2020-06-03,Gujarat,18117,12212,1122,0,227898,485,6288,70,936
2020-06-04,Gujarat,18609,12667,1155,0,233921,492,6023,7,-265
2020-06-05,Gujarat,19119,13011,1190,0,239911,510,5990,18,-33
2020-06-06,Gujarat,19617,13324,1219,0,245606,498,5695,-12,-295
2020-06-07,Gujarat,20097,13643,1249,0,251686,480,6080,-18,385
2020-06-08,Gujarat,20574,13964,1280,0,256289,477,4603,-3,-1477
2020-06-09,Gujarat,21044,14373,1313,0,261587,470,5298,-7,695
2020-06-10,Gujarat,21554,14743,1347,0,266404,510,4817,40,-481
2020-06-11,Gujarat,22067,15109,1385,0,272924,513,6520,3,1703
2020-06-12,Gujarat,22562,15501,1416,0,278137,495,5213,-18,-1307
2020-06-13,Gujarat,23079,15891,1449,0,283623,517,5486,22,273
2020-06-14,Gujarat,23590,16333,1478,0,288565,511,4942,-6,-544
2020-06-15,Gujarat,24104,16672,1506,0,292909,514,4344,3,-598
2020-06-16,Gujarat,24628,17090,1534,0,296335,524,3426,10,-918
2020-06-17,Gujarat,25148,17438,1561,0,303671,520,7336,-4,3910
2020-06-18,Gujarat,25658,17827,1592,0,308744,510,5073,-10,-2263
2020-06-19,Gujarat,26198,18167,1619,0,314301,540,5557,30,484
2020-06-20,Gujarat,26737,18702,1639,0,319414,539,5113,-1,-444
2020-06-21,Gujarat,27317,19357,1664,0,324874,580,5460,41,347
2020-06-22,Gujarat,27880,19917,1685,0,329343,563,4469,-17,-991
2020-06-23,Gujarat,28429,20521,1711,0,334326,549,4983,-14,514
2020-06-24,Gujarat,29001,21096,1736,0,340080,572,5754,23,771
2020-06-25,Gujarat,29578,21506,1754,0,345278,577,5198,5,-556
2020-06-26,Gujarat,30158,22038,1772,0,351179,580,5901,3,703
2020-06-27,Gujarat,30773,22417,1790,0,357148,615,5969,35,68
2020-06-28,Gujarat,31397,22808,1809,0,363306,624,6158,9,189
2020-06-29,Gujarat,32023,23248,1828,0,367739,626,4433,2,-1725
2020-06-30,Gujarat,32643,23670,1847,0,373613,620,5874,-6,1441
2020-07-01,Gujarat,33318,24038,1868,0,380640,675,7027,55,1153
2020-07-02,Gujarat,33999,24601,1887,0,388065,681,7425,6,398
2020-07-03,Gujarat,34686,24941,1905,0,395873,687,7808,6,383
2020-07-04,Gujarat,35398,25414,1926,0,404354,712,8481,25,673
2020-07-05,Gujarat,36123,25900,1944,0,412124,725,7770,13,-711
2020-07-06,Gujarat,36858,26323,1961,0,418464,735,6340,10,-1430
2020-07-07,Gujarat,37636,26744,1978,0,425830,778,7366,43,1026
2020-07-08,Gujarat,38419,27313,1994,0,433864,783,8034,5,668
2020-07-09,Gujarat,39280,27742,2009,0,441692,861,7828,78,-206
2020-07-10,Gujarat,40155,28183,2023,0,449349,875,7657,14,-171
2020-07-11,Gujarat,41027,28685,2033,0,457066,872,7717,-3,60
2020-07-12,Gujarat,41906,29198,2046,0,464646,879,7580,7,-137
2020-07-13,Gujarat,42808,29806,2056,0,470265,902,5619,23,-1961
2020-07-14,Gujarat,43723,30555,2070,0,478367,915,8102,13,2483
2020-07-15,Gujarat,44648,31346,2080,0,487707,925,9340,10,1238
2020-07-16,Gujarat,45567,32174,2090,0,499170,919,11463,-6,2123
2020-07-17,Gujarat,46516,33044,2107,0,512000,949,12830,30,1367
2020-07-18,Gujarat,47476,34106,2126,0,524297,960,12297,11,-533
2020-07-19,Gujarat,48441,34983,2146,0,536122,965,11825,5,-472
2020-07-20,Gujarat,49439,35760,2166,0,548989,998,12867,33,1042
2020-07-21,Gujarat,50465,36504,2200,0,562682,1026,13693,28,826
2020-07-22,Gujarat,51485,37341,2228,0,576706,1020,14024,-6,331
2020-07-23,Gujarat,52563,38059,2256,0,591561,1078,14855,58,831
2020-07-24,Gujarat,52563,38059,2256,0,591561,0,0,-1078,-14855
