"","date","region","Driving","Walking","Detected State","Cases","Recovered","Deceased","Migrated_Other","Migrated"
"1",2020-03-21,"Hyderabad",59.61,61.28,"Telangana",2,NA,NA,NA,NA
"2",2020-03-22,"Hyderabad",35.48,34.62,"Telangana",5,NA,NA,NA,NA
"3",2020-03-23,"Hyderabad",43.71,43.65,"Telangana",5,NA,NA,NA,NA
"4",2020-03-24,"Hyderabad",26.72,33.55,"Telangana",2,NA,NA,NA,NA
"5",2020-03-25,"Hyderabad",31.06,35.81,"Telangana",2,NA,NA,NA,NA
"6",2020-03-26,"Hyderabad",21.2,29.39,"Telangana",3,NA,NA,NA,NA
"7",2020-03-27,"Hyderabad",20.59,29.93,"Telangana",14,NA,NA,NA,NA
"8",2020-03-28,"Hyderabad",21.92,33.08,"Telangana",7,NA,1,NA,NA
"9",2020-03-29,"Hyderabad",21.02,28.68,"Telangana",3,NA,NA,NA,NA
"10",2020-03-30,"Hyderabad",20.93,29.45,"Telangana",7,NA,NA,NA,NA
"11",2020-03-31,"Hyderabad",19.32,29.16,"Telangana",20,NA,NA,NA,NA
"12",2020-04-01,"Hyderabad",19.26,24.35,"Telangana",30,NA,NA,NA,NA
"13",2020-04-02,"Hyderabad",18.21,27.14,"Telangana",27,NA,NA,NA,NA
"14",2020-04-03,"Hyderabad",19.85,27.85,"Telangana",6,NA,NA,NA,NA
"15",2020-04-05,"Hyderabad",18.16,26.84,"Telangana",51,NA,NA,NA,NA
"16",2020-04-07,"Hyderabad",20.23,24.58,"Telangana",17,NA,NA,NA,NA
"17",2020-04-08,"Hyderabad",20.7,26.66,"Telangana",3,NA,NA,NA,NA
"18",2020-04-09,"Hyderabad",19.57,25.06,"Telangana",3,NA,NA,NA,NA
"19",2020-04-11,"Hyderabad",19.16,26.01,"Telangana",9,NA,NA,NA,NA
"20",2020-04-12,"Hyderabad",20.5,28.62,"Telangana",10,NA,NA,NA,NA
"21",2020-04-13,"Hyderabad",19.37,27.26,"Telangana",45,NA,NA,NA,NA
"22",2020-04-14,"Hyderabad",19.93,28.68,"Telangana",40,NA,NA,NA,NA
"23",2020-04-15,"Hyderabad",20.46,31.35,"Telangana",5,NA,NA,NA,NA
"24",2020-04-16,"Hyderabad",21,27.91,"Telangana",33,NA,NA,NA,NA
"25",2020-04-17,"Hyderabad",20.24,26.07,"Telangana",50,NA,NA,NA,NA
"26",2020-04-18,"Hyderabad",20.06,29.33,"Telangana",31,NA,NA,NA,NA
"27",2020-04-19,"Hyderabad",19.85,29.04,"Telangana",38,NA,NA,NA,NA
"28",2020-04-20,"Hyderabad",21.21,30.52,"Telangana",12,NA,NA,NA,NA
"29",2020-04-21,"Hyderabad",20.43,26.72,"Telangana",19,NA,NA,NA,NA
"30",2020-04-22,"Hyderabad",18.23,24.88,"Telangana",10,NA,NA,NA,NA
"31",2020-04-23,"Hyderabad",17.94,28.8,"Telangana",13,NA,NA,NA,NA
"32",2020-04-25,"Hyderabad",19.3,27.43,"Telangana",6,NA,NA,NA,NA
"33",2020-04-26,"Hyderabad",19.14,26.13,"Telangana",11,NA,NA,NA,NA
"34",2020-04-27,"Hyderabad",20.09,27.79,"Telangana",2,NA,NA,NA,NA
"35",2020-04-28,"Hyderabad",19.22,33.25,"Telangana",6,NA,NA,NA,NA
"36",2020-04-30,"Hyderabad",21.12,28.38,"Telangana",NA,NA,3,NA,NA
"37",2020-05-01,"Hyderabad",22.3,30.23,"Telangana",5,NA,NA,NA,NA
"38",2020-05-02,"Hyderabad",23.88,32.66,"Telangana",15,24,NA,NA,NA
"39",2020-05-03,"Hyderabad",26.48,37.11,"Telangana",20,NA,NA,NA,NA
"40",2020-05-04,"Hyderabad",26.87,34.74,"Telangana",3,NA,NA,NA,NA
"41",2020-05-06,"Hyderabad",29.96,32.78,"Telangana",11,10,NA,NA,NA
"42",2020-05-07,"Hyderabad",30.09,33.73,"Telangana",12,27,NA,NA,NA
"43",2020-05-08,"Hyderabad",33.49,35.04,"Telangana",10,21,NA,NA,NA
"44",2020-05-09,"Hyderabad",29.51,35.15,"Telangana",30,12,NA,NA,NA
"45",2020-05-10,"Hyderabad",28.95,36.05,"Telangana",26,NA,NA,NA,NA
"46",2020-05-11,"Hyderabad",NA,NA,"Telangana",79,42,NA,NA,NA
"47",2020-05-12,"Hyderabad",NA,NA,"Telangana",37,13,2,NA,NA
"48",2020-05-13,"Hyderabad",32.45,40.26,"Telangana",31,NA,NA,NA,NA
"49",2020-05-14,"Hyderabad",32.3,37.59,"Telangana",40,NA,NA,NA,NA
"50",2020-05-15,"Hyderabad",35.79,44.12,"Telangana",33,5,NA,NA,NA
"51",2020-05-16,"Hyderabad",35.75,36.7,"Telangana",44,NA,NA,NA,NA
"52",2020-05-17,"Hyderabad",36.35,42.22,"Telangana",37,NA,NA,NA,NA
"53",2020-05-18,"Hyderabad",38.4,43.53,"Telangana",26,NA,NA,NA,NA
"54",2020-05-19,"Hyderabad",40.31,43.29,"Telangana",34,NA,NA,NA,NA
"55",2020-05-20,"Hyderabad",42.1,45.78,"Telangana",15,NA,NA,NA,NA
"56",2020-05-21,"Hyderabad",44.49,46.14,"Telangana",26,NA,NA,NA,NA
"57",2020-05-22,"Hyderabad",46.06,44.6,"Telangana",42,NA,NA,NA,NA
"58",2020-05-24,"Hyderabad",45.29,48.81,"Telangana",23,NA,NA,NA,NA
"59",2020-05-25,"Hyderabad",44.78,51.72,"Telangana",31,NA,NA,NA,NA
"60",2020-05-26,"Hyderabad",52.17,62.71,"Telangana",38,NA,NA,NA,NA
"61",2020-05-29,"Hyderabad",56.82,62.83,"Telangana",82,NA,NA,NA,NA
"62",2020-05-30,"Hyderabad",60.37,56.53,"Telangana",41,NA,NA,NA,NA
"63",2020-05-31,"Hyderabad",56.07,59.56,"Telangana",122,NA,NA,NA,NA
"64",2020-06-01,"Hyderabad",57.63,65.97,"Telangana",79,NA,NA,NA,NA
"65",2020-06-02,"Hyderabad",64.17,64.96,"Telangana",70,NA,NA,NA,NA
"66",2020-06-03,"Hyderabad",61.76,67.04,"Telangana",108,NA,NA,NA,NA
"67",2020-06-04,"Hyderabad",61.41,63.48,"Telangana",110,NA,NA,NA,NA
"68",2020-06-05,"Hyderabad",65.09,73.81,"Telangana",116,NA,NA,NA,NA
"69",2020-06-06,"Hyderabad",69.45,77.38,"Telangana",152,NA,NA,NA,NA
