Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily,change_daily_cases,change_daily_tests
2020-06-01,Maharashtra,70013,30108,2362,0,472344,2358,9167,-129,-5349
2020-06-02,Maharashtra,72300,31333,2465,0,484784,2287,12440,-71,3273
2020-06-03,Maharashtra,74860,32329,2587,0,498577,2560,13793,273,1353
2020-06-04,Maharashtra,77793,33681,2710,0,511136,2933,12559,373,-1234
2020-06-05,Maharashtra,80229,35147,2849,0,524002,2436,12866,-497,307
2020-06-06,Maharashtra,82968,37390,2969,0,538009,2739,14007,303,1141
2020-06-07,Maharashtra,85975,39314,3060,0,553063,3007,15054,268,1047
2020-06-08,Maharashtra,88529,40975,3169,0,565290,2554,12227,-453,-2827
2020-06-09,Maharashtra,90787,42639,3289,0,579294,2258,14004,-296,1777
2020-06-10,Maharashtra,94041,44516,3438,0,595282,3254,15988,996,1984
2020-06-11,Maharashtra,97648,46078,3590,0,610790,3607,15508,353,-480
2020-06-12,Maharashtra,101141,47796,3717,0,626521,3493,15731,-114,223
2020-06-13,Maharashtra,104568,49346,3830,13,643057,3427,16536,-66,805
2020-06-14,Maharashtra,107958,50978,3950,13,659481,3390,16424,-37,-112
2020-06-15,Maharashtra,110744,56049,4128,13,671348,2786,11867,-604,-4557
2020-06-16,Maharashtra,113445,57851,5537,13,686488,2701,15140,-85,3273
2020-06-17,Maharashtra,116752,59166,5651,13,686488,3307,0,606,-15140
2020-06-18,Maharashtra,120504,60838,5751,13,719637,3752,33149,445,33149
2020-06-19,Maharashtra,124331,62773,5893,13,737597,3827,17960,75,-15189
2020-06-20,Maharashtra,128205,64153,5984,14,756809,3874,19212,47,1252
2020-06-21,Maharashtra,132075,65744,6170,14,775958,3870,19149,-4,-63
2020-06-22,Maharashtra,135796,67706,6283,14,789016,3721,13058,-149,-6091
2020-06-23,Maharashtra,139010,69631,6531,15,804726,3214,15710,-507,2652
2020-06-24,Maharashtra,142899,73792,6739,15,826139,3889,21413,675,5703
2020-06-25,Maharashtra,147741,77453,6931,15,850410,4842,24271,953,2858
2020-06-26,Maharashtra,152765,79815,7106,15,873570,5024,23160,182,-1111
2020-06-27,Maharashtra,159133,84245,7273,15,900423,6368,26853,1344,3693
2020-06-28,Maharashtra,164626,86575,7429,15,926934,5493,26511,-875,-342
2020-06-29,Maharashtra,169883,88960,7610,15,946518,5257,19584,-236,-6927
2020-06-30,Maharashtra,174761,90911,7855,16,970161,4878,23643,-379,4059
2020-07-01,Maharashtra,180298,93154,8053,16,995343,5537,25182,659,1539
2020-07-02,Maharashtra,186626,101172,8178,16,1023296,6328,27953,791,2771
2020-07-03,Maharashtra,192990,104687,8376,16,1052643,6364,29347,36,1394
2020-07-04,Maharashtra,200064,108082,8671,16,1085160,7074,32517,710,3170
2020-07-05,Maharashtra,206619,111740,8822,17,1116112,6555,30952,-519,-1565
2020-07-06,Maharashtra,211987,115262,9026,17,1138706,5368,22594,-1187,-8358
2020-07-07,Maharashtra,217121,118558,9250,19,1164860,5134,26154,-234,3560
2020-07-08,Maharashtra,223724,123192,9448,19,1194565,6603,29705,1469,3551
2020-07-09,Maharashtra,230599,127259,9667,19,1225831,6875,31266,272,1561
2020-07-10,Maharashtra,238461,132625,9893,296,1257564,7862,31733,987,467
2020-07-11,Maharashtra,246600,136985,10116,297,1289325,8139,31761,277,28
2020-07-12,Maharashtra,254427,140325,10289,297,1321715,7827,32390,-312,629
2020-07-13,Maharashtra,260924,144507,10482,297,1345128,6497,23413,-1330,-8977
2020-07-14,Maharashtra,267665,149007,10695,298,1376203,6741,31075,244,7662
2020-07-15,Maharashtra,275640,152613,10928,298,1413185,7975,36982,1234,5907
2020-07-16,Maharashtra,284281,158140,11194,299,1450129,8641,36944,666,-38
2020-07-17,Maharashtra,292589,160357,11452,300,1487738,8308,37609,-333,665
2020-07-18,Maharashtra,300937,165663,11596,301,1526037,8348,38299,40,690
2020-07-19,Maharashtra,310455,169569,11854,302,1568229,9518,42192,1170,3893
2020-07-20,Maharashtra,318695,175029,12030,302,1603802,8240,35573,-1278,-6619
2020-07-21,Maharashtra,327031,182217,12276,302,1643981,8336,40179,96,4606
2020-07-22,Maharashtra,337607,187769,12556,302,1691546,10576,47565,2240,7386
2020-07-23,Maharashtra,347502,194253,12854,302,1741992,9895,50446,-681,2881
2020-07-24,Maharashtra,347502,194253,12854,302,1741992,0,0,-9895,-50446
