Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily
2020-06-01,Andhra Pradesh,3676,2374,64,0,383315,105,10567
2020-06-02,Andhra Pradesh,3791,2414,64,0,395681,115,12366
2020-06-03,Andhra Pradesh,3971,2464,68,0,403747,180,8066
2020-06-04,Andhra Pradesh,4112,2529,71,0,413733,141,9986
2020-06-05,Andhra Pradesh,4250,2565,73,0,423564,138,9831
2020-06-06,Andhra Pradesh,4460,2640,73,0,436335,210,12771
2020-06-07,Andhra Pradesh,4659,2669,75,0,454030,199,17695
2020-06-08,Andhra Pradesh,4813,2711,75,0,468276,154,14246
2020-06-09,Andhra Pradesh,4882,2759,77,0,483361,69,15085
2020-06-10,Andhra Pradesh,5247,2869,78,0,498716,365,15355
2020-06-11,Andhra Pradesh,5429,2968,80,0,510318,182,11602
2020-06-12,Andhra Pradesh,5636,3091,80,0,522093,207,11775
2020-06-13,Andhra Pradesh,5858,3185,82,0,536570,222,14477
2020-06-14,Andhra Pradesh,6152,3316,84,0,552202,294,15632
2020-06-15,Andhra Pradesh,6456,3385,86,0,567375,304,15173
2020-06-16,Andhra Pradesh,6720,3513,88,0,583286,264,15911
2020-06-17,Andhra Pradesh,7071,3641,90,0,598474,351,15188
2020-06-18,Andhra Pradesh,7496,3772,92,0,612397,425,13923
2020-06-19,Andhra Pradesh,7961,3905,96,0,630006,465,17609
2020-06-20,Andhra Pradesh,8452,4111,101,0,652377,491,22371
2020-06-21,Andhra Pradesh,8929,4307,106,0,676828,477,24451
2020-06-22,Andhra Pradesh,9372,4435,111,0,693548,443,16720
2020-06-23,Andhra Pradesh,9834,4592,119,0,714187,462,20639
2020-06-24,Andhra Pradesh,10331,4779,129,0,750234,497,36047
2020-06-25,Andhra Pradesh,10884,4988,136,0,769319,553,19085
2020-06-26,Andhra Pradesh,11489,5196,146,0,791624,605,22305
2020-06-27,Andhra Pradesh,12285,5480,157,0,816082,796,24458
2020-06-28,Andhra Pradesh,13098,5908,169,0,841860,813,25778
2020-06-29,Andhra Pradesh,13891,6232,180,0,872076,793,30216
2020-06-30,Andhra Pradesh,14595,6511,187,0,890190,704,18114
2020-07-01,Andhra Pradesh,15252,6988,193,0,918429,657,28239
2020-07-02,Andhra Pradesh,16097,7313,198,0,932713,845,14284
2020-07-03,Andhra Pradesh,16934,7632,206,0,971611,837,38898
2020-07-04,Andhra Pradesh,17699,8008,218,0,996573,765,24962
2020-07-05,Andhra Pradesh,18697,8422,232,0,1017140,998,20567
2020-07-06,Andhra Pradesh,20019,8920,239,0,1033852,1322,16712
2020-07-07,Andhra Pradesh,21197,9745,252,0,1050090,1178,16238
