"","date","region","driving","walking","Detected State","Cases","Recovered","Deceased","Migrated_Other","Migrated"
"1",2020-03-11,"Mumbai",90.24,84.39,"Maharashtra",2,NA,NA,NA,NA
"2",2020-03-12,"Mumbai",89.62,86.39,"Maharashtra",1,NA,1,NA,NA
"3",2020-03-14,"Mumbai",80.27,75.45,"Maharashtra",1,NA,NA,NA,NA
"4",2020-03-16,"Mumbai",69.99,65.05,"Maharashtra",1,NA,NA,NA,NA
"5",2020-03-17,"Mumbai",61.47,58.78,"Maharashtra",1,NA,NA,NA,NA
"6",2020-03-18,"Mumbai",58.58,55.71,"Maharashtra",1,NA,NA,NA,NA
"7",2020-03-19,"Mumbai",49.95,45.54,"Maharashtra",1,NA,NA,NA,NA
"8",2020-03-20,"Mumbai",41.17,33.72,"Maharashtra",2,NA,NA,NA,NA
"9",2020-03-21,"Mumbai",24.65,21.08,"Maharashtra",7,NA,1,NA,NA
"10",2020-03-22,"Mumbai",21.48,16.7,"Maharashtra",5,NA,NA,NA,NA
"11",2020-03-23,"Mumbai",21.03,16.76,"Maharashtra",11,NA,NA,NA,NA
"12",2020-03-24,"Mumbai",16.8,14.59,"Maharashtra",6,NA,NA,NA,NA
"13",2020-03-25,"Mumbai",13.35,16.81,"Maharashtra",7,NA,NA,NA,NA
"14",2020-03-26,"Mumbai",14.99,20.3,"Maharashtra",1,NA,NA,NA,NA
"15",2020-03-27,"Mumbai",15.83,21.18,"Maharashtra",2,NA,NA,NA,NA
"16",2020-03-28,"Mumbai",14.41,17.88,"Maharashtra",22,NA,NA,NA,NA
"17",2020-03-29,"Mumbai",14.1,17.5,"Maharashtra",5,NA,NA,NA,NA
"18",2020-03-30,"Mumbai",13.96,15.42,"Maharashtra",7,NA,NA,NA,NA
"19",2020-03-31,"Mumbai",13.43,15.15,"Maharashtra",59,NA,NA,NA,NA
"20",2020-04-01,"Mumbai",15.72,14.81,"Maharashtra",30,NA,NA,NA,NA
"21",2020-04-02,"Mumbai",14.88,13.98,"Maharashtra",54,NA,NA,NA,NA
"22",2020-04-03,"Mumbai",12.17,14.22,"Maharashtra",43,NA,NA,NA,NA
"23",2020-04-04,"Mumbai",11.87,12.57,"Maharashtra",99,NA,NA,NA,NA
"24",2020-04-05,"Mumbai",12.05,14.94,"Maharashtra",81,NA,NA,NA,NA
"25",2020-04-06,"Mumbai",11.93,13.79,"Maharashtra",67,NA,NA,NA,NA
"26",2020-04-07,"Mumbai",11.99,13.34,"Maharashtra",124,NA,NA,NA,NA
"27",2020-04-08,"Mumbai",11.92,13.85,"Maharashtra",72,NA,NA,NA,NA
"28",2020-04-09,"Mumbai",11.77,14.14,"Maharashtra",162,NA,NA,NA,NA
"29",2020-04-10,"Mumbai",11.66,13.39,"Maharashtra",132,NA,NA,NA,NA
"30",2020-04-11,"Mumbai",10.99,15.26,"Maharashtra",138,NA,NA,NA,NA
"31",2020-04-12,"Mumbai",11.49,15.23,"Maharashtra",152,NA,NA,NA,NA
"32",2020-04-13,"Mumbai",11.45,15.61,"Maharashtra",242,NA,NA,NA,NA
"33",2020-04-14,"Mumbai",12.32,14.38,"Maharashtra",216,NA,NA,NA,NA
"34",2020-04-15,"Mumbai",12.13,15.07,"Maharashtra",140,NA,NA,NA,NA
"35",2020-04-16,"Mumbai",11.71,14.75,"Maharashtra",177,NA,NA,NA,NA
"36",2020-04-17,"Mumbai",11.66,12.83,"Maharashtra",12,NA,NA,NA,NA
"37",2020-04-18,"Mumbai",11.67,13.26,"Maharashtra",183,NA,NA,NA,NA
"38",2020-04-19,"Mumbai",11.79,14.81,"Maharashtra",456,NA,NA,NA,NA
"39",2020-04-20,"Mumbai",15.5,15.45,"Maharashtra",308,NA,NA,NA,NA
"40",2020-04-21,"Mumbai",12.35,14.97,"Maharashtra",419,NA,NA,NA,NA
"41",2020-04-22,"Mumbai",12.14,14.91,"Maharashtra",232,NA,NA,NA,NA
"42",2020-04-23,"Mumbai",12.33,14.33,"Maharashtra",522,NA,NA,NA,NA
"43",2020-04-24,"Mumbai",12.01,15.26,"Maharashtra",242,NA,NA,NA,NA
"44",2020-04-25,"Mumbai",11.62,13.42,"Maharashtra",602,NA,NA,NA,NA
"45",2020-04-26,"Mumbai",12.34,16.22,"Maharashtra",358,NA,NA,NA,NA
"46",2020-04-27,"Mumbai",13.68,16.6,"Maharashtra",369,70,15,NA,NA
"47",2020-04-28,"Mumbai",13.7,17.24,"Maharashtra",393,87,25,NA,NA
"48",2020-04-29,"Mumbai",13.58,17.08,"Maharashtra",475,138,26,NA,NA
"49",2020-04-30,"Mumbai",13.89,15.29,"Maharashtra",417,156,20,NA,NA
"50",2020-05-01,"Mumbai",12.67,16.33,"Maharashtra",751,42,6,NA,NA
"51",2020-05-02,"Mumbai",14.02,15.85,"Maharashtra",547,69,26,NA,NA
"52",2020-05-03,"Mumbai",15.12,19.9,"Maharashtra",441,27,21,NA,NA
"53",2020-05-04,"Mumbai",17.29,21.21,"Maharashtra",510,165,18,NA,NA
"54",2020-05-05,"Mumbai",17.17,17.24,"Maharashtra",635,210,26,NA,NA
"55",2020-05-06,"Mumbai",17.52,18.2,"Maharashtra",769,89,25,NA,NA
"56",2020-05-07,"Mumbai",19.06,19.58,"Maharashtra",680,99,25,NA,NA
"57",2020-05-08,"Mumbai",19.5,23.48,"Maharashtra",748,74,25,NA,NA
"58",2020-05-09,"Mumbai",18.38,22.63,"Maharashtra",722,NA,27,NA,NA
"59",2020-05-10,"Mumbai",20.18,18.78,"Maharashtra",875,429,19,NA,NA
"60",2020-05-11,"Mumbai",NA,NA,"Maharashtra",782,70,20,NA,NA
"61",2020-05-12,"Mumbai",NA,NA,"Maharashtra",426,147,28,NA,NA
"62",2020-05-13,"Mumbai",21.2,21.02,"Maharashtra",800,226,40,NA,NA
"63",2020-05-14,"Mumbai",19.56,20.12,"Maharashtra",991,205,25,NA,NA
"64",2020-05-15,"Mumbai",22.98,18.09,"Maharashtra",933,181,34,NA,NA
"65",2020-05-16,"Mumbai",20.13,18.2,"Maharashtra",884,135,41,NA,NA
"66",2020-05-17,"Mumbai",20.63,19.61,"Maharashtra",1595,238,38,NA,NA
"67",2020-05-18,"Mumbai",21.69,20.57,"Maharashtra",1185,232,23,NA,NA
"68",2020-05-19,"Mumbai",20.46,18.76,"Maharashtra",1411,622,43,NA,NA
"69",2020-05-20,"Mumbai",20.7,18.92,"Maharashtra",1372,350,41,NA,NA
"70",2020-05-21,"Mumbai",19.5,18.46,"Maharashtra",1382,1067,41,NA,NA
"71",2020-05-22,"Mumbai",19.33,17.42,"Maharashtra",1751,327,27,NA,NA
"72",2020-05-23,"Mumbai",18.53,17.61,"Maharashtra",1566,285,40,NA,NA
"73",2020-05-24,"Mumbai",15.82,15.31,"Maharashtra",1725,702,39,NA,NA
"74",2020-05-25,"Mumbai",18.82,15.88,"Maharashtra",1430,501,38,NA,NA
"75",2020-05-26,"Mumbai",20.16,20.44,"Maharashtra",1002,429,39,NA,NA
"76",2020-05-27,"Mumbai",19.41,18.33,"Maharashtra",1044,395,32,NA,NA
"77",2020-05-28,"Mumbai",21.01,19,"Maharashtra",1467,242,38,NA,NA
"78",2020-05-29,"Mumbai",21.41,18.41,"Maharashtra",1447,7358,38,NA,NA
"79",2020-05-30,"Mumbai",19.93,18.12,"Maharashtra",1510,356,54,NA,NA
"80",2020-05-31,"Mumbai",22,20.25,"Maharashtra",1244,427,52,NA,NA
"81",2020-06-01,"Mumbai",23.86,20.94,"Maharashtra",1413,194,40,NA,NA
"82",2020-06-02,"Mumbai",21.39,18.6,"Maharashtra",1117,228,49,NA,NA
"83",2020-06-03,"Mumbai",18.05,14.62,"Maharashtra",1276,259,49,NA,NA
"84",2020-06-04,"Mumbai",23.32,23.45,"Maharashtra",1439,624,48,NA,NA
"85",2020-06-05,"Mumbai",27,23.32,"Maharashtra",1149,682,54,NA,NA
"86",2020-06-06,"Mumbai",25.8,23.05,"Maharashtra",1274,1199,58,NA,NA
"87",2020-06-07,"Mumbai",30.42,21.91,"Maharashtra",1420,1213,61,NA,NA
"88",2020-06-08,"Mumbai",36.46,28.15,"Maharashtra",1311,842,64,NA,NA
"89",2020-06-09,"Mumbai",35.56,29.16,"Maharashtra",1015,911,58,NA,NA
"90",2020-06-10,"Mumbai",35.2,27.69,"Maharashtra",1567,751,97,NA,NA
"91",2020-06-11,"Mumbai",33.18,27.13,"Maharashtra",1418,515,97,NA,NA
"92",2020-06-12,"Mumbai",36.14,30.18,"Maharashtra",1366,943,90,NA,NA
"93",2020-06-13,"Mumbai",32.67,31.86,"Maharashtra",1380,795,69,8,NA
"94",2020-06-14,"Mumbai",31.62,26.15,"Maharashtra",1395,1039,69,NA,NA
"95",2020-06-15,"Mumbai",34.96,27.11,"Maharashtra",1067,3139,68,NA,NA
"96",2020-06-16,"Mumbai",34.03,27.05,"Maharashtra",935,916,917,NA,NA
"97",2020-06-17,"Mumbai",33.81,29.38,"Maharashtra",1359,297,77,NA,NA
"98",2020-06-18,"Mumbai",32.84,25,"Maharashtra",1288,518,67,NA,NA
"99",2020-06-19,"Mumbai",34.53,32.9,"Maharashtra",1264,408,114,NA,NA
