geo_type,region,transportation_type,alternative_name,sub-region,country,date,value,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
country/region,India,driving,भारत,NA,NA,2020-01-30,115.4,1,1,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-01-31,122.46,0,1,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-01,131.49,0,1,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-02,119.28,1,2,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-03,108.72,1,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-04,111.32,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-05,105.92,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-06,110.8,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-07,126.79,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-08,137.98,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-09,133.39,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-10,109.32,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-11,108.38,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-12,115.12,0,3,0,0,0,0
country/region,India,driving,भारत,NA,NA,2020-02-13,115.6,0,3,1,1,0,0
country/region,India,driving,भारत,NA,NA,2020-02-14,136.8,0,3,0,1,0,0
country/region,India,driving,भारत,NA,NA,2020-02-15,141.22,0,3,0,1,0,0
country/region,India,driving,भारत,NA,NA,2020-02-16,134.78,0,3,1,2,0,0
country/region,India,driving,भारत,NA,NA,2020-02-17,110.74,0,3,0,2,0,0
country/region,India,driving,भारत,NA,NA,2020-02-18,109.83,0,3,0,2,0,0
country/region,India,driving,भारत,NA,NA,2020-02-19,111.83,0,3,0,2,0,0
country/region,India,driving,भारत,NA,NA,2020-02-20,119.25,0,3,1,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-21,126.09,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-22,132.79,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-23,125.45,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-24,112.01,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-25,121.54,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-26,118.45,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-27,115.22,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-28,124.07,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-02-29,130.42,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-01,120.68,0,3,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-02,108.04,2,5,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-03,102.79,1,6,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-04,105.28,22,28,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-05,105.2,2,30,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-06,118.4,1,31,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-07,128.65,3,34,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-08,112.75,5,39,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-09,93.18,9,48,0,3,0,0
country/region,India,driving,भारत,NA,NA,2020-03-10,94.54,15,63,1,4,0,0
country/region,India,driving,भारत,NA,NA,2020-03-11,101.21,8,71,0,4,0,0
country/region,India,driving,भारत,NA,NA,2020-03-12,97.05,10,81,0,4,1,1
country/region,India,driving,भारत,NA,NA,2020-03-13,101.01,10,91,6,10,0,1
country/region,India,driving,भारत,NA,NA,2020-03-14,107.66,11,102,0,10,1,2
country/region,India,driving,भारत,NA,NA,2020-03-15,97.37,10,112,3,13,0,2
country/region,India,driving,भारत,NA,NA,2020-03-16,85.91,14,126,1,14,0,2
country/region,India,driving,भारत,NA,NA,2020-03-17,81.34,20,146,1,15,1,3
country/region,India,driving,भारत,NA,NA,2020-03-18,78.24,25,171,0,15,0,3
country/region,India,driving,भारत,NA,NA,2020-03-19,69.53,27,198,5,20,1,4
country/region,India,driving,भारत,NA,NA,2020-03-20,63.43,58,256,3,23,0,4
country/region,India,driving,भारत,NA,NA,2020-03-21,45.24,78,334,0,23,0,4
country/region,India,driving,भारत,NA,NA,2020-03-22,32.67,69,403,0,23,3,7
country/region,India,driving,भारत,NA,NA,2020-03-23,40.44,94,497,2,25,2,9
country/region,India,driving,भारत,NA,NA,2020-03-24,25.3,74,571,15,40,1,10
country/region,India,driving,भारत,NA,NA,2020-03-25,21.93,86,657,3,43,1,11
country/region,India,driving,भारत,NA,NA,2020-03-26,21.22,73,730,7,50,5,16
country/region,India,driving,भारत,NA,NA,2020-03-27,21.93,153,883,25,75,3,19
country/region,India,driving,भारत,NA,NA,2020-03-28,21.92,136,1019,10,85,5,24
country/region,India,driving,भारत,NA,NA,2020-03-29,21.19,120,1139,17,102,3,27
country/region,India,driving,भारत,NA,NA,2020-03-30,19.22,187,1326,35,137,14,41
country/region,India,driving,भारत,NA,NA,2020-03-31,17.86,309,1635,13,150,6,47
country/region,India,driving,भारत,NA,NA,2020-04-01,17.67,424,2059,19,169,6,53
country/region,India,driving,भारत,NA,NA,2020-04-02,16.99,486,2545,22,191,16,69
country/region,India,driving,भारत,NA,NA,2020-04-03,16.72,560,3105,39,230,14,83
country/region,India,driving,भारत,NA,NA,2020-04-04,16.58,579,3684,56,286,13,96
country/region,India,driving,भारत,NA,NA,2020-04-05,16.3,609,4293,43,329,22,118
country/region,India,driving,भारत,NA,NA,2020-04-06,16.69,484,4777,65,394,16,134
country/region,India,driving,भारत,NA,NA,2020-04-07,16.78,573,5350,75,469,27,161
country/region,India,driving,भारत,NA,NA,2020-04-08,17.34,565,5915,96,565,20,181
country/region,India,driving,भारत,NA,NA,2020-04-09,17.25,813,6728,70,635,46,227
country/region,India,driving,भारत,NA,NA,2020-04-10,17.56,871,7599,151,786,22,249
country/region,India,driving,भारत,NA,NA,2020-04-11,17.28,854,8453,186,972,41,290
country/region,India,driving,भारत,NA,NA,2020-04-12,17.28,758,9211,114,1086,42,332
country/region,India,driving,भारत,NA,NA,2020-04-13,17.49,1243,10454,112,1198,27,359
country/region,India,driving,भारत,NA,NA,2020-04-14,18.73,1031,11485,167,1365,37,396
country/region,India,driving,भारत,NA,NA,2020-04-15,18.56,886,12371,144,1509,27,423
country/region,India,driving,भारत,NA,NA,2020-04-16,18.04,1061,13432,258,1767,26,449
country/region,India,driving,भारत,NA,NA,2020-04-17,17.94,922,14354,273,2040,38,487
country/region,India,driving,भारत,NA,NA,2020-04-18,17.79,1371,15725,426,2466,35,522
country/region,India,driving,भारत,NA,NA,2020-04-19,18.96,1580,17305,388,2854,38,560
country/region,India,driving,भारत,NA,NA,2020-04-20,19.07,1239,18544,419,3273,33,593
country/region,India,driving,भारत,NA,NA,2020-04-21,18.62,1537,20081,703,3976,53,646
country/region,India,driving,भारत,NA,NA,2020-04-22,18.23,1292,21373,394,4370,36,682
country/region,India,driving,भारत,NA,NA,2020-04-23,18.62,1667,23040,642,5012,40,722
country/region,India,driving,भारत,NA,NA,2020-04-24,18.92,1408,24448,484,5496,59,781
country/region,India,driving,भारत,NA,NA,2020-04-25,18.17,1835,26283,442,5938,44,825
country/region,India,driving,भारत,NA,NA,2020-04-26,18.21,1607,27890,585,6523,56,881
country/region,India,driving,भारत,NA,NA,2020-04-27,19.22,1568,29458,580,7103,58,939
country/region,India,driving,भारत,NA,NA,2020-04-28,19.11,1902,31360,636,7739,69,1008
country/region,India,driving,भारत,NA,NA,2020-04-29,19.77,1705,33065,690,8429,71,1079
country/region,India,driving,भारत,NA,NA,2020-04-30,20.75,1801,34866,630,9059,75,1154
country/region,India,driving,भारत,NA,NA,2020-05-01,21.51,2396,37262,962,10021,77,1231
country/region,India,driving,भारत,NA,NA,2020-05-02,22.15,2564,39826,831,10852,92,1323
country/region,India,driving,भारत,NA,NA,2020-05-03,24.11,2952,42778,911,11763,140,1463
country/region,India,driving,भारत,NA,NA,2020-05-04,26.67,3656,46434,1082,12845,103,1566
country/region,India,driving,भारत,NA,NA,2020-05-05,27.84,2971,49405,1295,14140,128,1694
country/region,India,driving,भारत,NA,NA,2020-05-06,29.12,3602,53007,1161,15301,91,1785
country/region,India,driving,भारत,NA,NA,2020-05-07,28.84,3344,56351,1475,16776,104,1889
country/region,India,driving,भारत,NA,NA,2020-05-08,29.8,3339,59690,1111,17887,97,1986
