Date,Retail and Recreation,Grocery and Pharmacy,Parks,Transit,Workplaces,Residential,Daily Confirmed,Daily Recovered,Daily Deceased
2020-03-21,-34,-4,-23,-25,-18,8,78,0,0
2020-03-22,-78,-76,-58,-70,-49,21,69,0,3
2020-03-23,-54,-27,-35,-52,-50,20,94,2,2
2020-03-24,-68,-48,-44,-64,-65,25,74,15,1
2020-03-25,-77,-64,-53,-73,-72,30,86,3,1
2020-03-26,-76,-64,-51,-73,-70,30,73,7,5
2020-03-27,-77,-64,-52,-73,-70,31,153,25,3
2020-03-28,-78,-65,-54,-73,-66,29,136,10,5
2020-03-29,-77,-65,-57,-71,-47,22,120,17,3
2020-03-30,-76,-63,-51,-74,-68,30,187,35,14
2020-03-31,-75,-63,-50,-73,-68,29,309,13,6
2020-04-01,-76,-64,-52,-73,-68,29,424,19,6
2020-04-02,-76,-65,-51,-74,-69,30,486,22,16
2020-04-03,-76,-62,-51,-73,-67,30,560,39,14
2020-04-04,-77,-64,-53,-73,-61,28,579,56,13
2020-04-05,-77,-65,-56,-71,-43,21,609,43,22
2020-04-06,-76,-63,-50,-73,-68,30,484,65,16
2020-04-07,-78,-53,-46,-67,-67,28,573,75,27
2020-04-08,-78,-52,-48,-68,-67,29,565,96,20
2020-04-09,-78,-54,-48,-68,-68,30,813,70,46
2020-04-10,-79,-53,-48,-69,-69,32,871,151,22
2020-04-11,-80,-55,-52,-69,-64,30,854,186,41
2020-04-12,-79,-56,-54,-67,-44,22,758,114,42
2020-04-13,-78,-53,-48,-69,-66,31,1243,112,27
2020-04-14,-78,-55,-47,-69,-69,30,1031,167,37
2020-04-15,-78,-51,-48,-66,-64,29,886,144,27
2020-04-16,-85,-44,-60,-65,-65,30,1061,258,26
2020-04-17,-85,-43,-60,-65,-65,31,922,273,38
2020-04-18,-87,-50,-66,-67,-60,28,1371,426,35
2020-04-19,-86,-50,-68,-65,-42,22,1580,388,38
2020-04-20,-86,-47,-62,-67,-63,30,1239,419,33
2020-04-21,-85,-47,-62,-66,-64,29,1537,703,53
2020-04-22,-86,-46,-63,-66,-63,29,1292,394,36
2020-04-23,-86,-47,-62,-66,-64,30,1667,642,40
2020-04-24,-85,-44,-63,-66,-63,30,1408,484,59
2020-04-25,-86,-46,-65,-66,-59,29,1835,442,44
2020-04-26,-86,-51,-68,-66,-41,22,1607,585,56
2020-04-27,-85,-47,-62,-67,-62,31,1568,580,58
2020-04-28,-85,-46,-61,-66,-63,28,1902,636,69
2020-04-29,-85,-44,-62,-64,-61,29,1705,690,71
2020-04-30,-84,-43,-60,-64,-61,29,1801,630,75
2020-05-01,-85,-43,-62,-65,-64,30,2396,962,77
2020-05-02,-85,-44,-64,-64,-54,27,2564,831,92
2020-05-03,-85,-46,-67,-63,-37,21,2952,911,140
2020-05-04,-81,-35,-60,-61,-56,27,3656,1082,103
2020-05-05,-81,-35,-60,-59,-56,26,2971,1295,128
2020-05-06,-79,-30,-60,-56,-54,25,3602,1161,91
2020-05-07,-79,-31,-59,-57,-56,26,3344,1475,104
2020-05-08,-79,-28,-59,-56,-52,26,3339,1111,97
2020-05-09,-80,-32,-62,-57,-49,25,3175,1414,115
2020-05-10,-82,-39,-65,-58,-32,19,4311,1669,112
2020-05-11,-78,-28,-58,-56,-50,25,3592,1579,81
2020-05-12,-78,-28,-57,-55,-52,24,3562,1905,120
2020-05-13,-77,-26,-58,-53,-49,23,3726,1963,137
2020-05-14,-77,-27,-57,-54,-49,23,3991,1594,97
2020-05-15,-76,-22,-56,-52,-48,23,3808,2234,104
2020-05-16,-77,-25,-59,-52,-41,22,4794,4012,120
2020-05-17,-79,-32,-63,-54,-27,17,5049,2538,152
2020-05-18,-74,-21,-56,-52,-45,22,4628,2482,131
2020-05-19,-73,-20,-56,-50,-46,21,6154,3032,146
2020-05-20,-72,-21,-57,-49,-44,21,5720,3113,134
2020-05-21,-72,-20,-56,-49,-44,21,6023,3131,148
2020-05-22,-72,-17,-56,-48,-42,21,6536,3280,142
2020-05-23,-72,-18,-59,-48,-37,19,6667,2576,142
2020-05-24,-76,-28,-61,-50,-24,15,7111,3285,156
2020-05-25,-71,-19,-55,-51,-51,22,6414,3012,150
2020-05-26,-70,-16,-54,-46,-42,19,5907,3585,173
2020-05-27,-69,-13,-55,-45,-39,19,7246,3434,188
2020-05-28,-69,-14,-54,-46,-40,19,7254,3171,176
2020-05-29,-69,-10,-54,-45,-38,19,8138,11735,269
2020-05-30,-69,-12,-58,-44,-29,17,8364,4303,205
2020-05-31,-73,-22,-61,-46,-16,14,8789,4928,222
2020-06-01,-65,-4,-53,-41,-35,17,7723,3882,201
