Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,-49,-9,14,-9,-3,-52,-24,-22,-49,-30,-57,-24,-16,-13,NA,-11,-24,-31,18,-15,-42,-9,-20,-1,13,-11,-36,-24,-26,-32,-20,-17,-7,-14,-19,-23
2020-03-22,-68,-55,-11,-38,-33,-84,-54,-58,-79,-77,-80,-64,-62,-40,NA,-49,-60,-56,1,-52,-70,-32,-32,-29,-17,-41,-72,-60,-59,-47,-52,-62,-36,-50,-54,-53
2020-03-23,-60,-26,15,-18,-17,-68,-32,-26,-52,-58,-72,-44,-30,-16,240,-22,-28,-27,15,-36,-51,-11,-10,-23,-6,-18,-31,-46,-45,-37,-15,-38,-10,-29,-34,-33
2020-03-24,-62,-39,4,-21,-21,-83,-39,-40,-58,-71,-70,-54,-48,-23,205,-30,-49,-35,12,-45,-58,-22,-19,-32,-18,-23,-48,-58,-50,-32,-17,-50,-20,-35,-43,-52
2020-03-25,-68,-47,-6,-33,-29,-83,-47,-52,-64,-78,-76,-58,-59,-30,NA,-39,-56,-41,-6,-52,-63,-31,-23,-28,-26,-30,-62,-60,-54,-43,-39,-57,-29,-45,-46,-56
2020-03-26,-65,-46,-12,-34,-29,-82,-46,-51,-62,-78,-75,-58,-59,-28,NA,-39,-55,-43,-16,-49,-61,-26,-24,-32,-28,-30,-64,-59,-54,-41,-41,-56,-28,-44,-46,-56
2020-03-27,-70,-46,-10,-33,-29,-82,-46,-56,-69,-79,-77,-57,-62,-36,NA,-38,-56,-49,-19,-51,-61,-25,-22,-33,-28,-31,-64,-59,-53,-42,-41,-56,-30,-43,-48,-55
2020-03-28,-67,-49,-12,-36,-31,-81,-48,-54,-72,-78,-79,-61,-60,-33,NA,-39,-59,-53,-22,-51,-64,-25,-23,-29,-28,-32,-72,-57,-55,-41,-48,-62,-28,-44,-48,-57
2020-03-29,-57,-49,-15,-38,-33,-84,-52,-62,-80,-79,-80,-66,-62,-34,NA,-47,-60,-56,-22,-53,-67,-30,-28,-30,-24,-38,-72,-58,-57,-44,-50,-59,-33,-47,-52,-58
2020-03-30,-62,-45,-10,-35,-31,-80,-45,-54,-64,-75,-76,-59,-57,-27,NA,-37,-56,-45,-23,-51,-61,-22,-21,-25,-25,-30,-61,-51,-53,-45,-41,-56,-27,-43,-44,-56
2020-03-31,-64,-43,-9,-35,-29,-81,-45,-53,-65,-76,-74,-59,-57,-23,NA,-37,-55,-43,-23,-51,-61,-22,-20,-28,-26,-30,-60,-56,-51,-42,-38,-55,-27,-42,-44,-54
2020-04-01,-67,-44,-12,-34,-29,-82,-47,-55,-65,-77,-73,-58,-59,-27,NA,-39,-55,-41,-24,-53,-61,-23,-22,-28,-30,-32,-61,-56,-53,-41,-40,-55,-28,-44,-46,-55
