"","date","region","driving","walking","Detected State","Cases","Recovered","Deceased","Migrated_Other","Migrated"
"1",2020-03-09,"Pune",92.39,87.65,"Maharashtra",NA,2,NA,NA,NA
"2",2020-03-10,"Pune",89.92,88.55,"Maharashtra",3,NA,NA,NA,NA
"3",2020-03-11,"Pune",92.21,93.23,"Maharashtra",3,NA,NA,NA,NA
"4",2020-03-12,"Pune",86.88,89.34,"Maharashtra",1,NA,NA,NA,NA
"5",2020-03-13,"Pune",89.98,88.05,"Maharashtra",1,NA,NA,NA,NA
"6",2020-03-15,"Pune",82.31,82.97,"Maharashtra",5,NA,NA,NA,NA
"7",2020-03-16,"Pune",70.27,74.1,"Maharashtra",1,NA,NA,NA,NA
"8",2020-03-17,"Pune",55.63,52.29,"Maharashtra",1,NA,NA,NA,NA
"9",2020-03-18,"Pune",52.63,51.79,"Maharashtra",2,NA,NA,NA,NA
"10",2020-03-20,"Pune",42.74,40.34,"Maharashtra",2,NA,NA,NA,NA
"11",2020-03-21,"Pune",24.61,20.72,"Maharashtra",2,NA,NA,NA,NA
"12",2020-03-22,"Pune",19.12,18.03,"Maharashtra",4,NA,NA,NA,NA
"13",2020-03-23,"Pune",20.05,21.91,"Maharashtra",1,NA,NA,NA,NA
"14",2020-03-24,"Pune",13.12,13.94,"Maharashtra",2,1,NA,NA,NA
"15",2020-03-27,"Pune",15.13,22.41,"Maharashtra",1,NA,NA,NA,NA
"16",2020-03-29,"Pune",13.85,22.31,"Maharashtra",5,NA,NA,NA,NA
"17",2020-03-30,"Pune",11.76,18.92,"Maharashtra",6,NA,NA,NA,NA
"18",2020-03-31,"Pune",12.18,17.73,"Maharashtra",5,NA,NA,NA,NA
"19",2020-04-01,"Pune",10.81,14.74,"Maharashtra",2,NA,NA,NA,NA
"20",2020-04-02,"Pune",12.41,16.43,"Maharashtra",10,NA,1,NA,NA
"21",2020-04-03,"Pune",9.81,14.54,"Maharashtra",6,NA,3,NA,NA
"22",2020-04-04,"Pune",11.5,14.74,"Maharashtra",10,NA,2,NA,NA
"23",2020-04-05,"Pune",11.67,17.53,"Maharashtra",17,NA,1,NA,NA
"24",2020-04-06,"Pune",11.62,12.05,"Maharashtra",41,NA,NA,NA,NA
"25",2020-04-07,"Pune",11.15,14.24,"Maharashtra",10,NA,NA,NA,NA
"26",2020-04-08,"Pune",11.8,12.95,"Maharashtra",38,NA,NA,NA,NA
"27",2020-04-09,"Pune",10.53,16.24,"Maharashtra",17,NA,NA,NA,NA
"28",2020-04-10,"Pune",9.82,14.54,"Maharashtra",42,NA,NA,NA,NA
"29",2020-04-11,"Pune",11.13,18.73,"Maharashtra",9,NA,NA,NA,NA
"30",2020-04-12,"Pune",11.69,19.42,"Maharashtra",6,NA,NA,NA,NA
"31",2020-04-13,"Pune",11.26,14.84,"Maharashtra",45,NA,NA,NA,NA
"32",2020-04-14,"Pune",12.52,17.23,"Maharashtra",43,NA,NA,NA,NA
"33",2020-04-15,"Pune",12.03,17.13,"Maharashtra",55,NA,1,NA,NA
"34",2020-04-16,"Pune",11.06,16.04,"Maharashtra",66,NA,NA,NA,NA
"35",2020-04-17,"Pune",11.95,18.63,"Maharashtra",31,NA,NA,NA,NA
"36",2020-04-18,"Pune",11.24,15.14,"Maharashtra",87,NA,NA,NA,NA
"37",2020-04-19,"Pune",11.59,20.02,"Maharashtra",20,NA,NA,NA,NA
"38",2020-04-20,"Pune",11.46,16.14,"Maharashtra",52,NA,NA,NA,NA
"39",2020-04-21,"Pune",13.12,17.63,"Maharashtra",53,NA,NA,NA,NA
"40",2020-04-22,"Pune",10.94,16.63,"Maharashtra",89,NA,NA,NA,NA
"41",2020-04-23,"Pune",11.57,17.73,"Maharashtra",105,NA,NA,NA,NA
