Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,16,6,0,4,1,12,9,4,5,10,7,8,7,2,12,2,7,12,NA,6,17,8,16,0,2,4,7,7,7,3,7,7,2,6,4,7
2020-03-22,NA,23,16,19,14,24,23,23,26,21,26,25,20,17,15,17,21,27,NA,20,26,15,15,10,9,20,26,19,20,17,22,24,19,18,19,18
2020-03-23,21,17,1,12,10,26,17,11,14,28,30,24,22,10,15,12,17,19,NA,18,29,8,8,15,8,13,15,20,18,5,13,26,6,18,17,16
2020-03-24,23,23,9,12,13,36,21,19,24,32,27,31,26,16,18,17,28,26,NA,23,34,14,18,17,12,16,26,26,23,3,17,32,13,20,21,26
2020-03-25,NA,29,13,23,16,37,25,31,33,34,36,33,31,21,22,20,35,31,NA,26,37,20,20,16,16,18,37,29,25,14,34,35,23,25,24,26
2020-03-26,NA,28,16,24,17,36,26,32,34,35,35,34,32,20,23,21,34,33,NA,25,36,18,19,19,17,21,38,28,25,15,37,35,23,24,24,28
2020-03-27,NA,29,17,23,17,37,26,33,33,36,34,34,34,22,27,22,35,35,NA,27,36,17,18,19,17,23,38,29,25,16,36,37,24,25,25,28
2020-03-28,NA,30,17,24,18,32,27,34,35,31,34,35,29,19,22,22,30,35,NA,26,34,18,18,16,18,23,34,26,25,14,32,34,23,24,23,27
2020-03-29,NA,21,14,20,13,25,22,28,28,23,27,28,21,15,16,17,22,28,NA,20,25,14,15,12,11,20,26,20,20,15,24,24,19,18,19,22
2020-03-30,29,28,17,24,17,33,27,34,34,34,34,35,31,20,23,22,35,35,NA,26,35,16,21,16,16,24,36,24,24,16,36,36,23,24,24,29
2020-03-31,29,25,17,22,16,34,25,32,33,34,32,33,29,17,21,21,33,32,NA,26,35,15,17,16,16,22,35,24,23,15,33,33,22,23,22,27
2020-04-01,NA,26,16,23,16,36,25,32,34,34,32,33,31,18,23,21,33,32,NA,26,35,16,20,16,18,19,36,26,24,15,34,33,22,24,24,25
2020-04-02,NA,29,18,24,17,37,26,34,35,36,32,35,31,20,25,22,34,33,NA,27,37,17,21,16,18,23,38,28,25,15,35,35,21,24,25,26
2020-04-03,NA,28,17,23,16,37,24,33,33,35,33,33,31,19,22,22,34,34,NA,26,36,15,18,16,16,22,38,27,24,16,35,35,19,23,24,27
2020-04-04,NA,27,18,23,16,33,24,32,35,31,31,33,28,18,20,21,28,33,NA,26,34,16,20,11,16,25,34,26,24,15,31,31,17,23,23,25
2020-04-05,NA,20,16,19,12,25,20,26,27,23,26,26,20,14,15,16,21,27,NA,19,25,13,15,10,12,22,27,20,19,14,23,23,17,17,19,20
2020-04-06,31,28,18,24,17,35,27,33,34,35,32,35,31,20,21,23,34,34,NA,27,36,17,21,16,15,26,38,25,25,17,36,35,21,24,24,27
2020-04-07,31,26,18,22,15,33,23,32,33,33,31,33,29,17,20,21,31,31,NA,26,35,16,18,14,15,23,35,24,23,15,33,33,23,23,23,26
2020-04-08,29,26,18,22,16,36,24,33,33,34,31,33,31,19,21,21,32,32,NA,27,35,16,19,15,16,20,35,27,24,15,33,32,24,24,24,24
2020-04-09,29,28,18,23,16,36,24,35,35,35,32,36,32,20,24,21,34,34,NA,28,37,16,19,15,18,24,38,27,26,17,36,34,23,26,26,26
2020-04-10,NA,30,17,20,17,39,26,35,36,37,34,36,33,21,25,24,34,38,NA,29,39,18,23,20,20,25,40,29,26,17,36,36,24,26,27,27
2020-04-11,NA,30,19,23,17,34,26,35,37,32,31,37,30,20,22,23,29,34,NA,29,36,12,20,14,18,25,35,27,26,16,32,33,22,25,26,26
2020-04-12,NA,22,18,18,13,26,21,29,28,24,25,28,21,16,17,18,22,27,NA,22,25,14,13,10,14,21,27,20,21,16,23,23,17,19,21,20
2020-04-13,28,28,18,24,17,35,26,35,35,35,31,37,32,20,25,24,35,34,NA,29,37,19,20,15,18,27,37,26,26,18,36,35,26,26,26,28
2020-04-14,NA,27,18,22,16,36,25,33,34,34,31,35,30,18,22,23,33,34,NA,27,37,16,24,14,20,24,38,25,25,17,36,33,23,24,24,27
2020-04-15,27,26,14,21,16,36,24,32,33,34,29,34,30,20,23,21,33,31,NA,26,35,15,25,12,18,19,35,26,25,15,34,32,21,24,24,25
2020-04-16,29,27,14,20,16,36,24,33,34,35,30,35,31,18,24,21,34,32,NA,27,36,12,20,11,13,22,37,26,26,17,36,34,18,24,25,26
2020-04-17,31,28,16,21,17,37,27,34,33,36,31,35,33,20,26,23,34,33,NA,28,37,16,23,12,18,23,38,27,26,16,36,35,21,25,26,27
2020-04-18,NA,28,17,23,16,33,27,34,34,32,29,35,28,20,23,22,28,32,NA,27,34,18,22,8,19,23,33,25,25,14,31,31,20,24,24,25
2020-04-19,NA,21,16,19,13,26,22,28,27,24,24,28,21,16,17,18,21,25,NA,21,25,12,17,6,14,19,27,20,21,16,23,23,16,18,21,21
2020-04-20,29,28,18,23,16,35,25,33,32,35,27,36,31,20,22,23,34,31,NA,27,36,16,22,10,18,23,34,25,25,15,35,35,22,25,25,27
2020-04-21,30,26,16,20,15,35,21,31,31,35,25,34,29,16,19,22,32,29,NA,26,36,13,20,9,17,21,33,23,24,13,33,33,20,24,23,27
2020-04-22,29,27,15,19,14,37,21,31,31,35,25,34,30,18,20,21,33,29,NA,26,36,14,20,11,16,17,33,25,24,15,33,34,18,25,24,24
2020-04-23,30,28,17,21,15,37,22,32,31,36,26,36,31,19,22,22,34,30,NA,27,37,13,21,13,17,21,36,26,26,16,36,35,19,25,25,27
2020-04-24,30,29,18,21,14,39,22,30,31,37,26,35,32,19,22,23,33,32,NA,27,37,15,23,12,19,23,36,27,25,16,35,35,18,25,25,27
2020-04-25,NA,29,16,22,16,35,22,30,32,33,26,36,29,19,23,23,29,32,NA,28,35,14,23,9,19,23,33,26,26,15,30,33,18,25,25,26
2020-04-26,NA,22,15,18,13,27,19,25,25,25,23,27,21,15,17,19,21,25,NA,22,26,12,18,9,14,19,28,20,21,16,26,24,17,20,22,22
2020-04-27,30,29,16,22,16,35,22,30,32,35,25,35,31,19,23,24,33,30,NA,28,37,15,23,12,17,23,37,25,25,16,39,36,18,26,25,29
2020-04-28,29,25,12,19,15,35,19,25,27,34,22,32,28,12,18,22,31,27,NA,26,36,13,20,12,16,19,33,23,23,13,35,32,18,24,22,27
2020-04-29,32,26,13,19,15,37,20,25,28,35,23,33,30,15,20,22,32,28,NA,26,36,14,20,11,16,17,34,25,24,14,35,32,17,25,24,25
2020-04-30,30,28,13,20,15,37,20,25,28,35,23,34,30,16,21,21,32,29,NA,27,36,13,20,11,16,19,35,26,24,15,34,33,17,25,24,26
2020-05-01,31,29,14,21,17,38,21,27,31,36,28,33,31,16,23,23,33,33,NA,27,38,13,21,11,15,21,38,26,24,17,36,35,17,24,25,28
2020-05-02,NA,27,13,20,15,34,21,25,27,32,22,33,28,15,20,22,26,29,NA,26,34,13,21,10,16,19,31,24,24,13,30,30,16,23,23,25
2020-05-03,NA,21,13,17,11,27,17,21,23,24,19,26,20,13,15,17,19,25,NA,20,25,11,16,8,12,17,26,19,19,14,22,21,15,18,20,20
2020-05-04,27,25,11,18,14,29,17,22,25,32,19,32,27,13,21,21,26,26,NA,25,34,11,19,9,13,19,29,22,21,13,32,32,16,23,20,26
2020-05-05,27,24,9,17,14,30,16,20,24,32,18,31,26,11,19,21,25,24,NA,24,34,9,18,9,14,17,28,22,20,11,31,30,17,22,20,25
2020-05-06,30,24,8,15,13,31,16,19,23,32,18,30,26,13,-3,19,25,23,NA,23,33,10,17,9,12,13,28,23,21,12,29,28,16,21,19,22
2020-05-07,29,24,10,16,13,32,17,20,22,33,18,31,27,14,27,20,26,23,NA,24,34,11,17,10,12,16,29,23,21,13,30,29,16,22,21,25
2020-05-08,25,25,8,15,11,31,15,20,22,32,19,31,27,13,25,20,25,23,NA,24,34,10,17,8,10,17,30,22,21,10,29,29,15,21,19,25
2020-05-09,27,26,8,17,13,29,24,20,24,29,19,33,24,14,23,20,21,23,NA,24,32,11,20,7,9,17,26,21,22,10,26,26,16,21,19,23
2020-05-10,NA,18,9,16,9,24,19,18,19,22,16,25,18,12,16,16,16,28,NA,18,23,9,15,7,8,15,23,16,17,13,19,18,14,16,17,19
2020-05-11,25,24,8,16,12,27,15,20,23,31,17,32,24,12,4,19,25,21,NA,23,33,10,19,7,10,17,28,18,21,11,28,28,15,20,18,24
2020-05-12,25,23,8,16,11,28,15,18,22,31,17,31,23,10,10,20,24,21,NA,23,33,9,16,6,11,16,27,18,20,11,27,26,15,20,18,25
2020-05-13,23,22,7,15,11,29,14,17,21,30,15,30,24,12,15,18,23,20,NA,22,32,10,15,7,9,12,25,19,19,10,25,25,15,20,17,21
2020-05-14,22,22,5,15,10,28,13,16,20,30,16,29,23,10,19,17,23,20,NA,21,31,9,13,5,11,14,26,18,18,10,26,26,12,19,16,22
2020-05-15,24,24,6,14,10,28,12,17,19,30,16,29,23,10,19,18,23,21,NA,21,32,9,14,6,10,14,27,17,18,9,26,27,13,18,17,22
2020-05-16,24,23,10,16,11,26,20,18,21,27,14,30,21,10,17,18,18,19,NA,22,29,11,16,5,11,14,23,16,18,10,21,24,12,18,17,21
2020-05-17,NA,17,8,14,8,22,17,16,18,21,15,24,16,10,13,15,14,27,NA,17,21,12,14,7,9,12,21,14,14,11,17,17,12,14,15,16
2020-05-18,22,22,8,15,10,25,13,17,20,28,17,29,21,10,17,18,23,20,NA,21,31,14,18,5,10,15,25,14,17,9,24,26,12,19,17,23
2020-05-19,20,21,8,14,10,24,12,16,19,27,17,25,20,8,9,17,22,19,NA,21,31,13,16,7,11,15,24,13,16,8,23,23,13,18,16,23
2020-05-20,12,21,7,14,9,25,12,16,19,26,17,24,21,10,13,19,21,18,NA,21,31,14,16,8,11,17,23,15,16,10,23,22,14,18,17,22
2020-05-21,5,22,10,19,10,25,13,17,21,26,17,24,21,11,17,17,22,19,NA,21,31,14,19,9,11,11,25,15,17,10,25,23,13,18,17,13
2020-05-22,14,22,9,14,8,25,12,16,20,26,17,24,21,11,9,17,22,19,NA,20,31,13,15,8,14,15,26,15,17,9,24,25,12,17,17,10
2020-05-23,10,21,11,16,9,23,21,16,21,24,17,24,18,10,14,16,15,18,NA,20,29,13,15,6,12,14,23,14,17,8,20,20,13,17,16,12
2020-05-24,NA,15,10,15,6,20,17,15,18,18,15,19,15,8,10,13,21,19,NA,16,20,11,14,8,9,11,19,12,13,11,15,14,11,13,15,10
2020-05-25,17,22,12,18,11,25,16,18,22,28,20,25,21,12,16,19,22,18,NA,23,32,13,20,9,13,15,27,14,17,12,25,26,16,20,19,19
2020-05-26,9,17,10,15,8,23,12,14,19,24,15,21,18,7,11,15,19,16,NA,19,29,11,13,6,13,11,23,12,14,7,21,21,11,16,15,17
2020-05-27,6,17,7,12,7,23,13,14,18,24,15,21,19,9,12,14,19,16,NA,18,28,12,12,7,9,8,22,13,14,9,20,19,13,15,15,15
2020-05-28,13,18,7,12,7,23,13,15,20,25,15,21,19,9,15,14,20,16,NA,18,29,11,13,2,12,11,24,14,14,10,23,21,7,16,16,16
2020-05-29,16,19,7,12,7,24,12,16,20,26,15,21,20,9,15,15,20,17,NA,18,30,12,14,8,12,11,25,14,14,10,22,22,10,15,16,17
2020-05-30,17,17,8,13,7,21,13,15,20,22,14,20,16,10,13,14,13,14,NA,17,26,11,14,6,11,10,20,12,13,8,17,17,12,14,14,16
2020-05-31,NA,13,8,12,4,19,14,14,17,18,13,16,14,9,11,12,13,22,NA,14,19,10,13,9,10,9,19,11,10,9,13,13,10,11,14,13
2020-06-01,13,16,8,12,5,18,11,14,18,22,14,17,17,7,13,14,18,16,NA,16,27,12,16,6,11,11,21,10,10,9,19,18,10,13,14,17
