State,Date,Retail and Recreation,Grocery and Pharmacy,Parks,Transit,Workplaces,Residential,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,2020-03-21,-57,-45,-49,-40,-34,16,0,0,0
Andaman and Nicobar Islands,2020-03-22,-80,-85,-68,-61,-41,NA,0,0,0
Andaman and Nicobar Islands,2020-03-23,-61,-43,-60,-45,-44,21,0,0,0
Andaman and Nicobar Islands,2020-03-24,-67,-48,-62,-46,-52,23,0,0,0
Andaman and Nicobar Islands,2020-03-25,-80,-76,-68,-64,-63,NA,0,0,0
Andaman and Nicobar Islands,2020-03-26,-80,-80,-65,-63,-66,NA,1,0,0
Andaman and Nicobar Islands,2020-03-27,-78,-79,-70,-66,-63,NA,5,0,0
Andaman and Nicobar Islands,2020-03-28,-75,-74,-67,-66,-57,NA,3,0,0
Andaman and Nicobar Islands,2020-03-29,-68,-63,-57,-59,-28,NA,0,0,0
Andaman and Nicobar Islands,2020-03-30,-69,-60,-62,-61,-56,29,1,0,0
Andaman and Nicobar Islands,2020-03-31,-72,-64,-64,-60,-56,29,0,0,0
Andaman and Nicobar Islands,2020-04-01,-75,-65,-67,-63,-58,NA,0,0,0
Andaman and Nicobar Islands,2020-04-02,-74,-67,-67,-64,-57,NA,0,0,0
Andaman and Nicobar Islands,2020-04-03,-76,-70,-65,-64,-57,NA,0,0,0
Andaman and Nicobar Islands,2020-04-04,-76,-72,-67,-65,-49,NA,0,0,0
Andaman and Nicobar Islands,2020-04-05,-76,-79,-65,-64,-24,NA,0,0,0
Andaman and Nicobar Islands,2020-04-06,-75,NA,-67,-67,-56,31,0,0,0
Andaman and Nicobar Islands,2020-04-07,-81,NA,-71,-77,-56,31,0,0,0
Andaman and Nicobar Islands,2020-04-08,-83,NA,-72,-78,-54,29,1,0,0
Andaman and Nicobar Islands,2020-04-09,-82,NA,-71,-77,-55,29,0,10,0
Andaman and Nicobar Islands,2020-04-10,-83,NA,-70,-78,-62,NA,0,0,0
Andaman and Nicobar Islands,2020-04-11,-84,NA,-70,-79,-48,NA,0,0,0
Andaman and Nicobar Islands,2020-04-12,-83,NA,-69,-78,-24,NA,0,0,0
Andaman and Nicobar Islands,2020-04-13,-80,NA,-70,-77,-50,28,0,0,0
Andaman and Nicobar Islands,2020-04-14,-83,NA,-72,-77,-62,NA,0,0,0
Andaman and Nicobar Islands,2020-04-15,-82,NA,-69,-75,-51,27,0,0,0
Andaman and Nicobar Islands,2020-04-16,-87,NA,-69,-79,-52,29,0,1,0
Andaman and Nicobar Islands,2020-04-17,-86,NA,-70,-80,-49,31,1,0,0
Andaman and Nicobar Islands,2020-04-18,-88,NA,-72,-82,-46,NA,2,0,0
Andaman and Nicobar Islands,2020-04-19,-87,NA,-71,-83,-25,NA,1,0,0
Andaman and Nicobar Islands,2020-04-20,-86,NA,-72,-80,-49,29,1,0,0
Andaman and Nicobar Islands,2020-04-21,-88,NA,-71,-82,-52,30,1,0,0
Andaman and Nicobar Islands,2020-04-22,-88,NA,-73,-81,-51,29,1,0,0
Andaman and Nicobar Islands,2020-04-23,-88,NA,-71,-82,-52,30,4,0,0
Andaman and Nicobar Islands,2020-04-24,-88,NA,-73,-82,-50,30,7,0,0
Andaman and Nicobar Islands,2020-04-25,-92,NA,-74,-86,-55,NA,4,0,0
Andaman and Nicobar Islands,2020-04-26,-91,NA,-72,-85,-28,NA,0,0,0
Andaman and Nicobar Islands,2020-04-27,-87,NA,-75,-81,-49,30,0,0,0
Andaman and Nicobar Islands,2020-04-28,-88,NA,-71,-81,-50,29,0,4,0
Andaman and Nicobar Islands,2020-04-29,-91,NA,-72,-81,-54,32,0,0,0
Andaman and Nicobar Islands,2020-04-30,-86,NA,-70,-80,-48,30,0,1,0
Andaman and Nicobar Islands,2020-05-01,-88,NA,-74,-82,-51,31,0,0,0
Andaman and Nicobar Islands,2020-05-02,-92,NA,-73,-83,-49,NA,0,10,0
Andaman and Nicobar Islands,2020-05-03,-91,NA,-74,-84,-24,NA,0,6,0
Andaman and Nicobar Islands,2020-05-04,-85,NA,-71,-80,-41,27,0,0,0
Andaman and Nicobar Islands,2020-05-05,-85,NA,-70,-79,-43,27,0,0,0
Andaman and Nicobar Islands,2020-05-06,-89,NA,-68,-81,-46,30,0,0,0
Andaman and Nicobar Islands,2020-05-07,-84,NA,-69,-77,-52,29,0,1,0
Andaman and Nicobar Islands,2020-05-08,-83,NA,-69,-74,-35,25,0,0,0
Andaman and Nicobar Islands,2020-05-09,-87,NA,-71,-78,-38,27,0,0,0
Andaman and Nicobar Islands,2020-05-10,-90,NA,-73,-83,-25,NA,0,0,0
Andaman and Nicobar Islands,2020-05-11,-82,NA,-74,-77,-36,25,0,0,0
Andaman and Nicobar Islands,2020-05-12,-84,NA,-76,-77,-40,25,0,0,0
