Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,0,2,0,0,0,0,0,0,0,7,0,7,2,0,0,0,5,12,0,0,12,0,0,0,0,0,0,10,7,0,3,2,0,4,0,2
2020-03-22,0,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,6,15,0,2,10,0,0,0,0,0,0,8,4,0,3,6,0,2,0,3
2020-03-23,0,1,0,0,1,1,0,0,0,3,0,12,7,1,0,0,7,28,0,0,23,0,0,0,0,0,0,2,4,0,3,6,0,2,1,0
2020-03-24,0,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,8,14,0,1,10,1,0,0,0,0,0,6,0,0,6,4,0,3,0,2
2020-03-25,0,2,0,0,1,0,2,0,0,5,3,4,1,0,5,0,10,9,0,8,15,0,0,1,0,0,0,2,6,0,8,4,0,3,1,0
2020-03-26,1,1,0,0,3,0,3,0,0,1,0,5,1,0,3,0,4,19,0,5,3,0,0,0,0,1,0,2,2,0,3,3,0,4,0,1
2020-03-27,5,2,0,0,2,1,0,0,0,4,0,4,1,0,6,0,9,39,0,9,31,0,0,0,0,0,0,5,10,0,9,15,0,7,0,5
2020-03-28,3,6,0,0,2,0,1,0,0,9,0,8,2,0,13,0,17,6,0,10,30,0,0,0,0,0,0,0,4,0,4,8,0,16,1,3
2020-03-29,0,2,0,0,4,0,0,0,0,23,2,8,0,0,5,0,2,20,0,0,17,0,0,0,0,0,0,0,5,0,8,3,0,7,1,3
2020-03-30,1,2,0,0,0,5,1,0,0,25,0,7,1,0,11,0,5,32,0,8,17,0,0,0,0,0,0,3,20,0,17,7,0,24,0,1
2020-03-31,0,21,0,1,6,2,1,0,0,23,0,4,7,0,6,1,13,7,0,19,82,0,0,0,0,1,0,1,14,0,57,20,0,8,0,15
