Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,-40,-10,-9,-18,-9,-54,-28,-30,NA,-40,-34,-22,-28,-8,267,-8,-20,-30,NA,-17,-45,-12,-42,-5,-9,-18,-21,-36,-24,-29,-15,-15,-7,-24,-12,-24
2020-03-22,-61,-63,-41,-65,-58,-88,-70,-63,-75,-81,-71,-67,-73,-56,130,-62,-66,-68,NA,-66,-78,-39,-61,-53,-42,-67,-70,-75,-71,-73,-67,-74,-67,-68,-68,-65
2020-03-23,-45,-46,-19,-45,-47,-82,-60,-42,-53,-74,-67,-53,-60,-35,174,-42,-37,-42,NA,-59,-69,-27,-19,-55,-39,-46,-42,-67,-62,-45,-24,-58,-30,-58,-55,-50
2020-03-24,-46,-59,-36,-48,-58,-91,-67,-53,-58,-82,-63,-65,-72,-51,123,-58,-61,-59,NA,-67,-76,-43,-55,-63,-54,-59,-60,-78,-69,-41,-31,-70,-49,-65,-65,-73
2020-03-25,-64,-68,-42,-72,-65,-90,-73,-61,-72,-87,-74,-69,-79,-56,72,-66,-71,-64,NA,-72,-81,-62,-63,-64,-62,-65,-72,-79,-72,-71,-70,-75,-70,-76,-66,-75
2020-03-26,-63,-66,-46,-72,-66,-89,-74,-57,-72,-87,-73,-69,-78,-53,76,-66,-71,-67,NA,-71,-79,-57,-62,-69,-60,-69,-70,-78,-72,-69,-71,-76,-70,-75,-67,-77
2020-03-27,-66,-66,-48,-71,-67,-90,-74,-55,-75,-87,-72,-70,-80,-58,80,-67,-71,-69,NA,-73,-79,-57,-54,-67,-63,-70,-72,-78,-72,-72,-71,-76,-72,-75,-69,-76
2020-03-28,-66,-67,-50,-73,-67,-88,-75,-58,-76,-85,-74,-72,-77,-54,102,-67,-72,-70,NA,-73,-79,-63,-55,-66,-64,-71,-74,-76,-72,-64,-71,-76,-71,-73,-68,-77
2020-03-29,-59,-63,-43,-71,-65,-89,-75,-59,-79,-84,-73,-72,-75,-50,107,-67,-70,-68,NA,-72,-77,-57,-63,-58,-59,-71,-72,-75,-72,-66,-68,-73,-70,-72,-69,-74
2020-03-30,-61,-66,-45,-73,-68,-90,-75,-67,-73,-86,-72,-72,-78,-53,84,-68,-72,-68,NA,-74,-79,-59,-64,-64,-62,-71,-72,-74,-72,-73,-71,-76,-71,-75,-67,-77
2020-03-31,-60,-64,-43,-72,-66,-89,-73,-71,-71,-86,-71,-71,-77,-51,72,-67,-70,-66,NA,-74,-80,-59,-52,-61,-64,-70,-67,-75,-72,-69,-68,-75,-70,-75,-66,-76
2020-04-01,-63,-65,-44,-71,-67,-90,-74,-67,-72,-87,-70,-70,-79,-53,62,-67,-70,-66,NA,-74,-80,-57,-63,-65,-65,-68,-67,-76,-72,-71,-68,-75,-68,-76,-68,-75
2020-04-02,-64,-67,-46,-73,-67,-90,-74,-71,-76,-88,-71,-71,-78,-55,65,-68,-71,-66,NA,-75,-81,-58,-64,-64,-66,-71,-66,-77,-73,-71,-68,-76,-70,-76,-69,-75
2020-04-03,-64,-66,-50,-71,-66,-90,-72,-71,-73,-87,-73,-70,-79,-54,118,-67,-71,-67,NA,-73,-80,-53,-53,-62,-63,-69,-67,-76,-72,-73,-68,-74,-69,-75,-68,-75
2020-04-04,-65,-66,-49,-72,-66,-89,-73,-66,-76,-86,-73,-71,-78,-54,119,-67,-70,-68,NA,-74,-79,-57,-65,-55,-63,-73,-69,-77,-72,-68,-68,-74,-69,-76,-69,-75
2020-04-05,-64,-62,-46,-71,-63,-89,-73,-69,-75,-86,-73,-71,-76,-50,108,-66,-68,-67,NA,-73,-78,-53,-62,-57,-59,-73,-68,-76,-73,-73,-67,-72,-68,-74,-70,-73
2020-04-06,-67,-65,-52,-72,-67,-90,-74,-73,-74,-87,-71,-72,-79,-52,99,-68,-71,-65,NA,-74,-80,-59,-54,-59,-62,-72,-69,-75,-73,-75,-70,-75,-69,-76,-67,-75
2020-04-07,-77,-58,-57,-67,-60,-85,-69,-69,-69,-84,-64,-64,-74,-41,112,-64,-62,-54,NA,-69,-76,-50,-38,-49,-61,-69,-57,-72,-67,-80,-61,-70,-70,-72,-61,-71
2020-04-08,-78,-59,-61,-65,-61,-86,-70,-67,-69,-84,-64,-65,-76,-46,102,-64,-62,-55,NA,-70,-76,-51,-47,-49,-60,-66,-57,-72,-68,-78,-61,-69,-68,-71,-62,-70
2020-04-09,-77,-60,-60,-67,-61,-86,-70,-71,-72,-85,-64,-66,-76,-44,95,-64,-64,-55,NA,-71,-77,-48,-46,-47,-64,-68,-56,-72,-68,-81,-62,-70,-69,-74,-64,-71
2020-04-10,-78,-60,-63,-66,-62,-88,-70,-61,-71,-86,-68,-67,-76,-46,127,-65,-63,-61,NA,-72,-78,-49,-50,-55,-66,-67,-59,-74,-69,-81,-63,-70,-71,-74,-65,-71
2020-04-11,-79,-61,-61,-68,-62,-87,-71,-64,-70,-85,-65,-67,-76,-47,122,-65,-64,-56,NA,-72,-77,-27,-40,-38,-61,-68,-62,-74,-69,-78,-62,-71,-69,-74,-65,-71
2020-04-12,-78,-60,-58,-66,-60,-87,-72,-69,-74,-84,-65,-67,-74,-43,121,-65,-62,-54,NA,-71,-75,-47,-46,-43,-62,-67,-60,-73,-70,-76,-60,-67,-68,-73,-66,-68
2020-04-13,-77,-61,-58,-66,-63,-87,-71,-75,-70,-85,-63,-67,-76,-44,94,-65,-64,-53,NA,-71,-77,-53,-46,-46,-68,-69,-60,-72,-69,-81,-63,-71,-71,-73,-63,-72
2020-04-14,-77,-60,-58,-66,-62,-87,-70,-71,-70,-85,-63,-66,-74,-42,97,-65,-64,-57,NA,-70,-78,-50,-57,-44,-69,-67,-60,-72,-67,-81,-64,-70,-68,-72,-62,-72
2020-04-15,-75,-58,-55,-65,-62,-86,-68,-67,-66,-84,-60,-63,-74,-43,102,-63,-61,-52,NA,-66,-75,-45,-58,-40,-69,-62,-57,-70,-66,-80,-60,-68,-65,-71,-59,-70
2020-04-16,-79,-57,-56,-64,-59,-82,-68,-69,-66,-83,-58,-62,-72,-37,112,-61,-61,-49,NA,-65,-75,-39,-33,-39,-61,-64,-51,-70,-65,-75,-59,-68,-62,-70,-59,-70
2020-04-17,-80,-57,-57,-64,-59,-84,-70,-73,-68,-83,-60,-62,-73,-42,134,-61,-61,-52,NA,-66,-75,-42,-49,-39,-64,-64,-54,-70,-66,-76,-59,-68,-64,-71,-61,-70
2020-04-18,-82,-59,-62,-68,-60,-82,-73,-73,-71,-83,-60,-65,-73,-47,139,-62,-63,-55,NA,-68,-75,-50,-42,-28,-68,-66,-57,-71,-67,-69,-60,-70,-64,-72,-63,-71
2020-04-19,-83,-58,-62,-66,-58,-83,-72,-70,-69,-82,-60,-66,-71,-41,138,-63,-60,-49,NA,-68,-73,-40,-48,-30,-63,-64,-54,-71,-68,-70,-59,-67,-62,-71,-64,-68
2020-04-20,-80,-60,-60,-67,-61,-84,-69,-76,-67,-83,-56,-65,-73,-42,142,-63,-63,-50,NA,-67,-75,-44,-41,-36,-68,-65,-53,-70,-66,-70,-61,-71,-64,-71,-60,-72
2020-04-21,-82,-58,-57,-63,-60,-82,-67,-80,-65,-84,-54,-63,-71,-37,137,-63,-61,-48,NA,-66,-75,-38,-41,-32,-67,-65,-50,-70,-64,-71,-59,-70,-60,-71,-59,-73
2020-04-22,-81,-60,-61,-61,-57,-83,-66,-79,-62,-84,-54,-64,-73,-40,120,-61,-61,-48,NA,-66,-75,-37,-40,-39,-65,-60,-50,-70,-65,-72,-59,-71,-57,-71,-59,-69
2020-04-23,-82,-59,-60,-63,-57,-83,-66,-79,-66,-84,-55,-64,-73,-40,122,-62,-62,-49,NA,-66,-76,-35,-37,-43,-64,-63,-49,-71,-66,-73,-60,-71,-61,-71,-61,-71
2020-04-24,-82,-59,-63,-63,-56,-84,-65,-76,-60,-84,-56,-64,-73,-42,165,-62,-60,-52,NA,-66,-76,-36,-49,-35,-66,-66,-51,-71,-66,-74,-60,-70,-60,-71,-61,-71
2020-04-25,-86,-60,-61,-64,-57,-83,-66,-77,-61,-83,-57,-64,-72,-44,141,-62,-61,-53,NA,-67,-75,-39,-49,-26,-65,-66,-53,-71,-67,-67,-57,-71,-60,-72,-62,-71
2020-04-26,-85,-58,-60,-62,-57,-84,-68,-72,-61,-82,-57,-62,-70,-40,144,-63,-58,-50,NA,-68,-74,-39,-46,-38,-63,-64,-58,-71,-67,-67,-67,-68,-62,-72,-66,-68
2020-04-27,-81,-61,-60,-63,-59,-84,-65,-79,-65,-83,-54,-63,-72,-37,132,-64,-61,-49,NA,-67,-76,-37,-36,-35,-65,-63,-56,-69,-65,-72,-67,-71,-59,-72,-60,-72
2020-04-28,-81,-58,-55,-61,-59,-83,-63,-72,-57,-83,-52,-61,-70,-26,138,-63,-59,-48,NA,-66,-75,-37,-36,-31,-60,-61,-51,-68,-63,-70,-64,-69,-58,-70,-57,-72
2020-04-29,-81,-58,-57,-58,-57,-83,-64,-73,-54,-82,-50,-60,-71,-29,125,-61,-58,-45,NA,-64,-74,-33,-34,-33,-60,-57,-49,-68,-62,-69,-62,-68,-51,-70,-56,-67
2020-04-30,-80,-58,-55,-59,-57,-83,-63,-75,-49,-82,-50,-61,-71,-31,139,-60,-58,-46,NA,-64,-75,-34,-32,-37,-61,-59,-47,-69,-62,-69,-56,-69,-54,-70,-58,-68
2020-05-01,-82,-58,-61,-61,-60,-85,-63,-72,-47,-82,-55,-62,-72,-34,180,-61,-59,-53,NA,-65,-76,-28,-46,-28,-62,-60,-53,-70,-63,-73,-60,-69,-56,-70,-60,-72
2020-05-02,-83,-58,-57,-61,-57,-83,-64,-77,-50,-81,-51,-61,-70,-35,173,-61,-58,-50,NA,-65,-74,-32,-47,-24,-61,-59,-54,-68,-62,-62,-59,-68,-54,-70,-59,-68
2020-05-03,-84,-56,-57,-60,-55,-85,-66,-71,-53,-80,-52,-62,-70,-35,169,-60,-54,-52,NA,-65,-72,-31,-44,-35,-62,-58,-54,-70,-64,-70,-59,-65,-54,-69,-62,-66
2020-05-04,-80,-54,-52,-55,-57,-76,-58,-72,-51,-77,-45,-60,-67,-24,176,-60,-47,-44,NA,-62,-71,-23,-27,-25,-58,-58,-47,-65,-58,-67,-56,-67,-50,-67,-50,-68
2020-05-05,-79,-52,-47,-53,-57,-74,-57,-68,-45,-77,-43,-59,-65,-19,163,-60,-46,-41,NA,-61,-70,-18,-30,-18,-57,-55,-42,-64,-56,-64,-54,-65,-49,-66,-48,-67
2020-05-06,-81,-50,-46,-47,-53,-73,-54,-73,-41,-76,-39,-55,-63,-21,66,-57,-44,-37,NA,-57,-68,-22,-26,-16,-49,-50,-40,-62,-55,-62,-50,-57,-46,-64,-44,-64
2020-05-07,-77,-50,-43,-49,-53,-74,-55,-70,-41,-78,-41,-58,-63,-26,25,-57,-45,-36,NA,-57,-70,-24,-22,-15,-46,-52,-35,-61,-55,-65,-49,-58,-48,-63,-47,-66
2020-05-08,-74,-49,-46,-48,-49,-75,-51,-69,-43,-76,-43,-58,-63,-24,67,-56,-45,-38,NA,-56,-68,-18,-32,-9,-41,-52,-39,-61,-56,-58,-50,-55,-50,-61,-46,-66
2020-05-09,-78,-51,-44,-53,-51,-74,-73,-70,-45,-75,-44,-60,-62,-27,63,-58,-45,-37,NA,-57,-68,-20,-38,2,-34,-53,-43,-61,-58,-53,-50,-58,-51,-64,-50,-66
2020-05-10,-83,-49,-48,-58,-49,-78,-72,-66,-36,-74,-45,-61,-65,-36,66,-59,-43,-60,NA,-58,-67,-26,-39,-38,-56,-54,-43,-66,-60,-62,-51,-54,-52,-63,-54,-64
2020-05-11,-77,-50,-43,-51,-52,-72,-49,-69,-42,-75,-40,-60,-61,-19,109,-57,-44,-33,NA,-54,-68,-18,-32,-9,-55,-52,-40,-55,-56,-61,-48,-57,-49,-61,-44,-65
