Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,-34,-14,6,-3,-4,-30,-20,-1,-5,-27,-14,-10,-18,2,101,-3,-14,-16,-9,-14,-43,-28,-32,-2,8,-13,-6,-15,-20,7,-9,-17,-1,-17,-12,-8
2020-03-22,-41,-45,-14,-36,-34,-64,-40,-49,-59,-68,-47,-57,-52,-36,112,-36,-49,-34,-31,-44,-62,-26,-20,-26,-7,-38,-46,-48,-51,-32,-46,-55,-35,-47,-44,-39
2020-03-23,-44,-36,-2,-35,-30,-68,-38,-18,-22,-73,-68,-52,-60,-36,53,-34,-47,-38,-32,-47,-69,-26,-15,-53,-27,-36,-24,-58,-55,-6,-29,-60,-14,-49,-49,-41
2020-03-24,-52,-54,-23,-32,-41,-84,-50,-45,-54,-82,-67,-71,-71,-55,31,-46,-73,-59,-11,-60,-77,-46,-40,-57,-36,-46,-56,-74,-63,-11,-48,-72,-30,-57,-59,-64
2020-03-25,-63,-67,-30,-56,-45,-85,-56,-70,-72,-85,-76,-76,-76,-62,12,-51,-81,-66,-28,-64,-81,-52,-48,-59,-36,-51,-69,-74,-66,-39,-75,-79,-44,-65,-61,-65
2020-03-26,-66,-60,-33,-55,-47,-83,-57,-70,-70,-84,-73,-75,-75,-61,22,-50,-77,-66,-31,-63,-78,-49,-45,-62,-44,-53,-69,-73,-65,-39,-74,-75,-49,-63,-61,-66
2020-03-27,-63,-59,-30,-52,-46,-82,-56,-70,-69,-84,-72,-74,-76,-60,23,-53,-77,-65,-32,-63,-77,-45,-39,-59,-39,-52,-68,-72,-64,-38,-74,-74,-50,-63,-60,-65
2020-03-28,-57,-58,-21,-53,-44,-77,-56,-71,-69,-80,-70,-74,-71,-53,42,-48,-71,-60,-33,-61,-74,-45,-32,-42,-31,-52,-64,-67,-63,-26,-69,-70,-50,-60,-58,-60
2020-03-29,-28,-37,-7,-32,-29,-62,-35,-60,-58,-69,-47,-59,-51,-29,131,-31,-49,-30,-37,-42,-57,-23,-15,-25,-10,-33,-44,-45,-48,-24,-46,-51,-27,-42,-40,-41
2020-03-30,-56,-56,-28,-53,-44,-78,-55,-70,-67,-82,-70,-74,-73,-55,34,-49,-75,-63,-32,-62,-76,-44,-42,-58,-38,-52,-64,-66,-63,-39,-72,-72,-48,-61,-58,-64
